plant,material,tool,work_center,work_center_full,cycle_time_min,material_status,routing_source,reason_code,revision
NW01,MAT-100287,T-70477-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.448,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100290,T-70297-D,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.006,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100294,T-70597-B,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.318,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100299,T-70111-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.551,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100301,T-70299-C,P01_NW01_nan,P01_NW01_nan,1.362,Active,legacy_tool_master,MISSING_WORK_CENTER,B
NW01,MAT-100305,T-70265-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.654,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100311,T-70225-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.223,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100315,T-70206-A,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.322,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100317,T-70191-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.536,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100325,T-70627-A,P01_NW01_PRESS_2,P01_NW01_PRESS_2,1.314,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100329,T-70225-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.628,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100337,T-70331-A,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.203,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100339,T-70022-D,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.455,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100343,T-70586-D,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.783,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100345,T-70646-C,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.384,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100350,T-70256-A,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.394,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100353,T-70001-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.123,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100359,T-70400-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.734,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100360,T-70374-C,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.479,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100367,T-70333-B,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.558,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100370,T-70221-D,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.038,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100374,T-70429-D,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.539,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100380,T-70221-D,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.498,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100395,T-70495-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.556,Phase-out,legacy_tool_master,COMPLETE,A
NW01,MAT-100398,T-70055-D,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.262,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100416,T-70442-C,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.389,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100420,T-70393-B,P01_NW01_PRESS_4,P01_NW01_PRESS_4,0.983,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100422,T-70394-D,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.331,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100436,T-70259-B,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.699,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100440,T-70563-B,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.276,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100444,T-70539-D,P01_NW01_PRESS_2,P01_NW01_PRESS_2,1.33,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100447,T-70005-C,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.162,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100449,T-70495-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.474,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100454,T-70510-B,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.465,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100461,T-70167-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.04,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100463,T-70061-C,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.731,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100464,T-70318-D,P01_NW01_PRESS_2,P01_NW01_PRESS_2,1.132,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100468,T-70170-C,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,0.942,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100472,T-70186-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.921,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100473,T-70630-B,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.801,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100477,T-70522-A,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.133,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100479,T-70362-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.879,Active,legacy_tool_master,COMPLETE,D
NW01,MAT-100482,T-70399-B,P01_NW01_PRESS_2,P01_NW01_PRESS_2,1.59,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100492,T-70436-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.328,Phase-out,legacy_tool_master,COMPLETE,A
NW01,MAT-100496,T-70400-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.563,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100500,T-70685-D,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.271,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100509,T-70390-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.032,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100513,T-70305-C,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.015,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100514,T-70546-B,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.154,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100516,T-70587-C,P01_NW01_PRESS_2,P01_NW01_PRESS_2,0.936,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100518,T-70435-D,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.527,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100519,T-70629-D,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.384,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100520,T-70292-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.82,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100525,T-70301-A,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.298,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100528,T-70011-C,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.298,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100529,T-70632-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.111,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100538,T-70308-A,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.347,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100539,T-70666-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.861,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100540,T-70675-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.364,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100547,T-70033-C,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.383,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100552,T-70679-B,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.099,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100556,T-70662-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.209,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100557,T-70489-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.305,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100558,T-70203-D,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.322,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100561,T-70236-A,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.363,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100566,T-70327-D,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.458,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100580,T-70581-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.206,Phase-out,legacy_tool_master,COMPLETE,A
NW01,MAT-100583,T-70038-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.719,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100584,T-70605-A,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.115,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100587,T-70614-B,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.198,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100592,T-70402-D,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.185,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100593,T-70450-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.722,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100596,T-70661-B,P01_NW01_PRESS_1,P01_NW01_PRESS_1,0.955,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100600,T-70679-B,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.072,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100604,T-70270-D,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.775,Active,legacy_tool_master,COMPLETE,D
NW01,MAT-100605,T-70443-B,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.665,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100608,T-70189-C,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.0,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100610,T-70189-C,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.282,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100618,T-70108-A,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.269,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100621,T-70130-A,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.223,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100623,T-70014-D,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.468,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100625,T-70010-C,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.127,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100629,T-70656-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.796,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100633,T-70583-D,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.495,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100643,T-70569-C,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.575,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100644,T-70611-D,P01_NW01_PRESS_1,P01_NW01_PRESS_1,0.939,Phase-out,legacy_tool_master,COMPLETE,D
NW01,MAT-100646,T-70331-A,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.257,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100647,T-70386-D,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.396,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100651,T-70448-D,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.391,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100654,T-70436-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.761,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100657,T-70230-A,P01_NW01_PRESS_2,P01_NW01_PRESS_2,1.302,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100662,T-70578-A,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.535,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100674,T-70559-D,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.644,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100675,T-70439-C,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.541,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100676,T-70265-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.905,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100677,T-70466-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.405,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100681,T-70522-A,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.373,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100683,T-70008-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.554,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100687,T-70564-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.639,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100691,T-70286-C,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.284,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100695,T-70120-B,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.808,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100700,T-70443-B,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.887,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100701,T-70405-B,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.154,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100708,T-70115-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.341,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100711,T-70645-C,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.155,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100717,T-70088-D,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.206,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100719,T-70652-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.111,Active,legacy_tool_master,COMPLETE,D
NW01,MAT-100722,T-70490-C,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.059,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100723,T-70112-B,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.284,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100725,T-70400-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.267,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100726,T-70059-B,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.896,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100732,T-70111-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,0.934,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100741,T-70539-D,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.16,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100753,T-70690-B,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,0.933,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100754,T-70146-D,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.323,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100761,T-70020-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.733,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100762,T-70067-A,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.542,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100765,T-70328-D,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.352,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100780,T-70169-D,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.071,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100785,T-70191-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.606,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100789,T-70529-A,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.317,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100791,T-70662-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.551,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100792,T-70683-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.29,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100793,T-70587-C,P01_NW01_PRESS_2,P01_NW01_PRESS_2,1.317,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100804,T-70277-A,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.145,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100808,T-70489-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.612,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100810,T-70441-A,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.806,Phase-out,legacy_tool_master,COMPLETE,A
NW01,MAT-100811,T-70186-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.587,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100817,T-70132-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.629,Active,legacy_tool_master,COMPLETE,B
