plant,material,procurement_type,lead_time_days,order_policy_note,reason_code
NW01,MAT-100179,F,14.0,In-house production,READY
NW01,MAT-100182,X,21.0,Mixed procurement,READY
NW01,MAT-100184,F,35.0,In-house production,READY
NW01,MAT-100185,E,60.0,External procurement,READY
NW01,MAT-100186,E,35.0,External procurement,READY
NW01,MAT-100203,X,14.0,Mixed procurement,READY
NW01,MAT-100209,X,21.0,Mixed procurement,READY
NW01,MAT-100214,E,60.0,External procurement,READY
NW01,MAT-100221,X,14.0,Mixed procurement,READY
NW01,MAT-100225,E,45.0,External procurement,READY
NW01,MAT-100226,E,28.0,External procurement,READY
NW01,MAT-100230,X,14.0,Mixed procurement,READY
NW01,MAT-100239,E,60.0,External procurement,READY
NW01,MAT-100242,X,60.0,Mixed procurement,READY
NW01,MAT-100247,E,14.0,External procurement,READY
NW01,MAT-100249,F,28.0,In-house production,READY
NW01,MAT-100252,F,35.0,In-house production,READY
NW01,MAT-100264,E,45.0,External procurement,READY
NW01,MAT-100269,F,14.0,In-house production,READY
NW01,MAT-100270,E,60.0,External procurement,READY
NW01,MAT-100273,F,28.0,In-house production,READY
NW01,MAT-100277,F,28.0,In-house production,READY
NW01,MAT-100282,X,28.0,Mixed procurement,READY
NW01,MAT-100283,X,35.0,Mixed procurement,READY
NW01,MAT-100284,F,21.0,In-house production,READY
NW01,MAT-100286,E,60.0,External procurement,READY
NW01,MAT-100287,F,35.0,In-house production,READY
NW01,MAT-100290,X,60.0,Mixed procurement,READY
NW01,MAT-100294,X,21.0,Mixed procurement,READY
NW01,MAT-100299,F,45.0,In-house production,READY
NW01,MAT-100301,X,60.0,Mixed procurement,READY
NW01,MAT-100305,F,14.0,In-house production,READY
NW01,MAT-100311,F,35.0,In-house production,READY
NW01,MAT-100315,F,35.0,In-house production,READY
NW01,MAT-100317,X,28.0,Mixed procurement,READY
NW01,MAT-100325,E,14.0,External procurement,READY
NW01,MAT-100329,F,45.0,In-house production,READY
NW01,MAT-100337,E,14.0,External procurement,READY
NW01,MAT-100339,E,60.0,External procurement,READY
NW01,MAT-100343,X,35.0,Mixed procurement,READY
NW01,MAT-100345,E,45.0,External procurement,READY
NW01,MAT-100350,E,35.0,External procurement,READY
NW01,MAT-100353,X,60.0,Mixed procurement,READY
NW01,MAT-100359,X,45.0,Mixed procurement,READY
NW01,MAT-100360,E,21.0,External procurement,READY
NW01,MAT-100367,E,35.0,External procurement,READY
NW01,MAT-100370,E,45.0,External procurement,READY
NW01,MAT-100374,X,45.0,Mixed procurement,READY
NW01,MAT-100380,F,45.0,In-house production,READY
NW01,MAT-100395,X,28.0,Mixed procurement,READY
NW01,MAT-100398,F,28.0,In-house production,READY
NW01,MAT-100416,E,60.0,External procurement,READY
NW01,MAT-100420,E,60.0,External procurement,READY
NW01,MAT-100422,X,45.0,Mixed procurement,READY
NW01,MAT-100436,X,14.0,Mixed procurement,READY
NW01,MAT-100440,X,28.0,Mixed procurement,READY
NW01,MAT-100444,F,21.0,In-house production,READY
NW01,MAT-100447,X,14.0,Mixed procurement,READY
NW01,MAT-100449,E,60.0,External procurement,READY
NW01,MAT-100454,E,28.0,External procurement,READY
NW01,MAT-100461,X,14.0,Mixed procurement,READY
NW01,MAT-100463,E,60.0,External procurement,READY
NW01,MAT-100464,E,60.0,External procurement,READY
NW01,MAT-100468,X,60.0,Mixed procurement,READY
NW01,MAT-100472,E,35.0,External procurement,READY
NW01,MAT-100473,E,35.0,External procurement,READY
NW01,MAT-100477,E,21.0,External procurement,READY
NW01,MAT-100479,F,28.0,In-house production,READY
NW01,MAT-100482,X,21.0,Mixed procurement,READY
NW01,MAT-100492,X,28.0,Mixed procurement,READY
NW01,MAT-100496,F,14.0,In-house production,READY
NW01,MAT-100500,E,28.0,External procurement,READY
NW01,MAT-100509,E,14.0,External procurement,READY
NW01,MAT-100513,F,14.0,In-house production,READY
NW01,MAT-100514,F,28.0,In-house production,READY
NW01,MAT-100516,X,60.0,Mixed procurement,READY
NW01,MAT-100518,E,21.0,External procurement,READY
NW01,MAT-100519,E,21.0,External procurement,READY
NW01,MAT-100520,F,35.0,In-house production,READY
NW01,MAT-100525,E,45.0,External procurement,READY
NW01,MAT-100528,F,21.0,In-house production,READY
NW01,MAT-100529,F,45.0,In-house production,READY
NW01,MAT-100538,X,45.0,Mixed procurement,READY
NW01,MAT-100539,F,45.0,In-house production,READY
NW01,MAT-100540,F,28.0,In-house production,READY
NW01,MAT-100547,E,21.0,External procurement,READY
NW01,MAT-100552,E,45.0,External procurement,READY
NW01,MAT-100556,F,60.0,In-house production,READY
NW01,MAT-100557,F,45.0,In-house production,READY
NW01,MAT-100558,E,21.0,External procurement,READY
NW01,MAT-100561,F,28.0,In-house production,READY
NW01,MAT-100566,F,21.0,In-house production,READY
NW01,MAT-100580,F,21.0,In-house production,READY
NW01,MAT-100583,E,21.0,External procurement,READY
NW01,MAT-100584,E,21.0,External procurement,READY
NW01,MAT-100587,E,28.0,External procurement,READY
NW01,MAT-100592,X,14.0,Mixed procurement,READY
NW01,MAT-100593,E,28.0,External procurement,READY
NW01,MAT-100596,F,35.0,In-house production,READY
NW01,MAT-100600,F,35.0,In-house production,READY
NW01,MAT-100604,E,28.0,External procurement,READY
NW01,MAT-100605,X,21.0,Mixed procurement,READY
NW01,MAT-100608,E,28.0,External procurement,READY
NW01,MAT-100610,F,28.0,In-house production,READY
NW01,MAT-100618,E,28.0,External procurement,READY
NW01,MAT-100621,X,14.0,Mixed procurement,READY
NW01,MAT-100623,E,60.0,External procurement,READY
NW01,MAT-100625,E,35.0,External procurement,READY
NW01,MAT-100629,E,21.0,External procurement,READY
NW01,MAT-100633,X,28.0,Mixed procurement,READY
NW01,MAT-100643,E,60.0,External procurement,READY
NW01,MAT-100644,X,14.0,Mixed procurement,READY
NW01,MAT-100646,E,21.0,External procurement,READY
NW01,MAT-100647,F,21.0,In-house production,READY
NW01,MAT-100651,E,60.0,External procurement,READY
NW01,MAT-100654,X,60.0,Mixed procurement,READY
NW01,MAT-100657,E,14.0,External procurement,READY
NW01,MAT-100662,F,35.0,In-house production,READY
NW01,MAT-100674,X,21.0,Mixed procurement,READY
NW01,MAT-100675,E,14.0,External procurement,READY
NW01,MAT-100676,X,28.0,Mixed procurement,READY
NW01,MAT-100677,E,28.0,External procurement,READY
NW01,MAT-100681,F,28.0,In-house production,READY
NW01,MAT-100683,E,28.0,External procurement,READY
NW01,MAT-100687,X,60.0,Mixed procurement,READY
NW01,MAT-100691,X,45.0,Mixed procurement,READY
NW01,MAT-100695,E,60.0,External procurement,READY
NW01,MAT-100700,E,28.0,External procurement,READY
NW01,MAT-100701,X,60.0,Mixed procurement,READY
NW01,MAT-100708,F,60.0,In-house production,READY
NW01,MAT-100711,E,35.0,External procurement,READY
NW01,MAT-100717,F,35.0,In-house production,READY
NW01,MAT-100719,E,45.0,External procurement,READY
NW01,MAT-100722,F,45.0,In-house production,READY
NW01,MAT-100723,F,35.0,In-house production,READY
NW01,MAT-100725,X,28.0,Mixed procurement,READY
NW01,MAT-100726,F,14.0,In-house production,READY
NW01,MAT-100732,E,45.0,External procurement,READY
NW01,MAT-100741,X,14.0,Mixed procurement,READY
NW01,MAT-100753,E,14.0,External procurement,READY
NW01,MAT-100754,X,14.0,Mixed procurement,READY
NW01,MAT-100761,X,14.0,Mixed procurement,READY
NW01,MAT-100762,E,28.0,External procurement,READY
NW01,MAT-100765,X,21.0,Mixed procurement,READY
NW01,MAT-100780,X,45.0,Mixed procurement,READY
NW01,MAT-100785,X,35.0,Mixed procurement,READY
NW01,MAT-100789,E,60.0,External procurement,READY
NW01,MAT-100791,X,28.0,Mixed procurement,READY
NW01,MAT-100792,F,35.0,In-house production,READY
NW01,MAT-100793,X,35.0,Mixed procurement,READY
NW01,MAT-100804,X,14.0,Mixed procurement,READY
NW01,MAT-100808,X,21.0,Mixed procurement,READY
NW01,MAT-100810,F,14.0,In-house production,READY
NW01,MAT-100811,E,28.0,External procurement,READY
NW01,MAT-100817,F,21.0,In-house production,READY
NW01,MAT-100818,F,45.0,In-house production,READY
NW01,MAT-100820,F,21.0,In-house production,READY
NW01,MAT-100822,E,21.0,External procurement,READY
NW01,MAT-100824,X,28.0,Mixed procurement,READY
NW01,MAT-100839,E,21.0,External procurement,READY
NW01,MAT-100841,F,35.0,In-house production,READY
NW01,MAT-100845,F,21.0,In-house production,READY
NW01,MAT-100846,F,45.0,In-house production,READY
NW01,MAT-100853,X,45.0,Mixed procurement,READY
NW01,MAT-100856,X,60.0,Mixed procurement,READY
NW01,MAT-100862,F,45.0,In-house production,READY
NW01,MAT-100863,F,60.0,In-house production,READY
NW01,MAT-100875,F,14.0,In-house production,READY
NW01,MAT-100878,X,28.0,Mixed procurement,READY
NW01,MAT-100881,F,45.0,In-house production,READY
NW01,MAT-100887,F,35.0,In-house production,READY
NW01,MAT-100890,X,60.0,Mixed procurement,READY
NW01,MAT-100895,F,28.0,In-house production,READY
NW01,MAT-100903,X,45.0,Mixed procurement,READY
NW01,MAT-100908,E,35.0,External procurement,READY
NW01,MAT-100909,E,28.0,External procurement,READY
NW01,MAT-100913,E,28.0,External procurement,READY
NW01,MAT-100915,X,21.0,Mixed procurement,READY
NW01,MAT-100916,E,60.0,External procurement,READY
NW01,MAT-100926,E,35.0,External procurement,READY
NW01,MAT-100932,E,45.0,External procurement,READY
NW01,MAT-100943,F,28.0,In-house production,READY
NW01,MAT-100949,F,21.0,In-house production,READY
NW01,MAT-100954,F,14.0,In-house production,READY
NW01,MAT-100956,E,45.0,External procurement,READY
NW01,MAT-100958,E,35.0,External procurement,READY
NW01,MAT-100960,E,60.0,External procurement,READY
NW01,MAT-100963,F,45.0,In-house production,READY
NW01,MAT-100964,F,35.0,In-house production,READY
NW01,MAT-100965,X,60.0,Mixed procurement,READY
NW01,MAT-100967,X,21.0,Mixed procurement,READY
NW01,MAT-100970,E,35.0,External procurement,READY
NW01,MAT-100971,F,28.0,In-house production,READY
NW01,MAT-100977,E,45.0,External procurement,READY
NW01,MAT-100980,F,14.0,In-house production,READY
NW01,MAT-100984,F,14.0,In-house production,READY
NW01,MAT-100989,X,45.0,Mixed procurement,READY
NW01,MAT-100993,E,28.0,External procurement,READY
NW01,MAT-100998,X,14.0,Mixed procurement,READY
NW01,MAT-101001,E,60.0,External procurement,READY
NW01,MAT-101002,E,21.0,External procurement,READY
NW01,MAT-101009,E,21.0,External procurement,READY
NW01,MAT-101010,F,21.0,In-house production,READY
NW01,MAT-101012,E,14.0,External procurement,READY
NW01,MAT-101017,E,14.0,External procurement,READY
NW01,MAT-101020,E,35.0,External procurement,READY
NW01,MAT-101021,E,45.0,External procurement,READY
NW01,MAT-101022,E,45.0,External procurement,READY
NW01,MAT-101023,E,21.0,External procurement,READY
NW01,MAT-101027,F,28.0,In-house production,READY
NW01,MAT-101032,E,45.0,External procurement,READY
NW01,MAT-101045,X,14.0,Mixed procurement,READY
NW01,MAT-101058,F,28.0,In-house production,READY
NW01,MAT-101067,F,21.0,In-house production,READY
NW01,MAT-101070,E,60.0,External procurement,READY
NW01,MAT-101073,F,14.0,In-house production,READY
NW01,MAT-101080,E,21.0,External procurement,READY
NW01,MAT-101084,X,21.0,Mixed procurement,READY
NW01,MAT-101089,E,21.0,External procurement,READY
NW01,MAT-101092,X,14.0,Mixed procurement,READY
NW01,MAT-101095,F,45.0,In-house production,READY
NW01,MAT-101097,X,60.0,Mixed procurement,READY
NW01,MAT-101101,X,60.0,Mixed procurement,READY
NW01,MAT-101104,X,45.0,Mixed procurement,READY
NW01,MAT-101105,F,35.0,In-house production,READY
NW01,MAT-101111,E,14.0,External procurement,READY
NW01,MAT-101113,E,35.0,External procurement,READY
NW01,MAT-101115,E,60.0,External procurement,READY
NW01,MAT-101120,E,21.0,External procurement,READY
NW01,MAT-101131,E,45.0,External procurement,READY
NW01,MAT-101134,X,28.0,Mixed procurement,READY
NW01,MAT-101142,F,21.0,In-house production,READY
NW01,MAT-101144,F,45.0,In-house production,READY
NW01,MAT-101149,F,21.0,In-house production,READY
NW01,MAT-101150,X,60.0,Mixed procurement,READY
NW01,MAT-101159,F,21.0,In-house production,READY
NW01,MAT-101161,X,45.0,Mixed procurement,READY
NW01,MAT-101167,E,21.0,External procurement,READY
NW01,MAT-101168,F,21.0,In-house production,READY
NW01,MAT-101173,F,35.0,In-house production,READY
NW01,MAT-101175,F,28.0,In-house production,READY
NW01,MAT-101177,F,45.0,In-house production,READY
NW01,MAT-101191,E,21.0,External procurement,READY
NW01,MAT-101195,E,28.0,External procurement,READY
NW01,MAT-101196,X,14.0,Mixed procurement,READY
NW01,MAT-101198,E,21.0,External procurement,READY
NW01,MAT-101206,F,21.0,In-house production,READY
NW01,MAT-101210,X,28.0,Mixed procurement,READY
NW01,MAT-101211,X,21.0,Mixed procurement,READY
NW01,MAT-101219,F,14.0,In-house production,READY
NW01,MAT-101224,E,35.0,External procurement,READY
NW01,MAT-101234,X,60.0,Mixed procurement,READY
NW01,MAT-101239,X,28.0,Mixed procurement,READY
NW01,MAT-101245,E,35.0,External procurement,READY
NW01,MAT-101248,X,35.0,Mixed procurement,READY
NW01,MAT-101252,F,28.0,In-house production,READY
NW01,MAT-101264,E,45.0,External procurement,READY
NW01,MAT-101267,F,28.0,In-house production,READY
NW01,MAT-101270,X,45.0,Mixed procurement,READY
NW01,MAT-101274,F,35.0,In-house production,READY
NW01,MAT-101278,F,60.0,In-house production,READY
NW01,MAT-101280,X,28.0,Mixed procurement,READY
NW01,MAT-101303,F,35.0,In-house production,READY
NW01,MAT-101312,F,35.0,In-house production,READY
NW01,MAT-101314,F,14.0,In-house production,READY
NW01,MAT-101316,X,45.0,Mixed procurement,READY
NW01,MAT-101317,X,45.0,Mixed procurement,READY
NW01,MAT-101318,E,28.0,External procurement,READY
NW01,MAT-101321,E,45.0,External procurement,READY
NW01,MAT-101334,E,28.0,External procurement,READY
NW01,MAT-101337,F,21.0,In-house production,READY
NW01,MAT-101342,X,28.0,Mixed procurement,READY
NW01,MAT-101346,E,21.0,External procurement,READY
NW01,MAT-101347,E,45.0,External procurement,READY
NW01,MAT-101348,F,14.0,In-house production,READY
NW01,MAT-101350,F,35.0,In-house production,READY
NW01,MAT-101352,X,45.0,Mixed procurement,READY
NW01,MAT-101354,F,28.0,In-house production,READY
NW01,MAT-101358,F,45.0,In-house production,READY
NW01,MAT-101360,F,45.0,In-house production,READY
NW01,MAT-101373,F,21.0,In-house production,READY
NW01,MAT-101374,E,28.0,External procurement,READY
NW01,MAT-101375,F,28.0,In-house production,READY
NW01,MAT-101377,E,35.0,External procurement,READY
NW01,MAT-101382,X,21.0,Mixed procurement,READY
NW01,MAT-101384,X,28.0,Mixed procurement,READY
NW01,MAT-101391,F,21.0,In-house production,READY
NW01,MAT-101393,E,60.0,External procurement,READY
NW01,MAT-101414,X,45.0,Mixed procurement,READY
NW01,MAT-101419,X,21.0,Mixed procurement,READY
NW01,MAT-101420,E,28.0,External procurement,READY
NW01,MAT-101421,F,28.0,In-house production,READY
NW01,MAT-101423,E,14.0,External procurement,READY
NW01,MAT-101431,X,35.0,Mixed procurement,READY
NW01,MAT-101432,E,21.0,External procurement,READY
NW01,MAT-101434,E,45.0,External procurement,READY
NW01,MAT-101435,E,45.0,External procurement,READY
NW01,MAT-101436,E,35.0,External procurement,READY
NW01,MAT-101437,E,45.0,External procurement,READY
NW01,MAT-101439,F,21.0,In-house production,READY
NW01,MAT-101442,F,28.0,In-house production,READY
NW01,MAT-101444,E,14.0,External procurement,READY
NW01,MAT-101446,E,21.0,External procurement,READY
NW01,MAT-101448,X,14.0,Mixed procurement,READY
NW01,MAT-101450,F,45.0,In-house production,READY
NW01,MAT-101456,X,45.0,Mixed procurement,READY
NW01,MAT-101458,F,60.0,In-house production,READY
NW01,MAT-101459,F,35.0,In-house production,READY
NW01,MAT-101465,X,28.0,Mixed procurement,READY
NW01,MAT-101469,F,28.0,In-house production,READY
NW01,MAT-101482,X,60.0,Mixed procurement,READY
NW01,MAT-101487,E,45.0,External procurement,READY
NW01,MAT-101488,X,28.0,Mixed procurement,READY
NW01,MAT-101492,E,14.0,External procurement,READY
NW01,MAT-101494,F,35.0,In-house production,READY
NW01,MAT-101499,F,21.0,In-house production,READY
NW01,MAT-200001,E,45.0,External procurement,READY
NW01,MAT-200005,E,28.0,External procurement,READY
NW01,MAT-200012,X,21.0,Mixed procurement,READY
NW01,MAT-200015,F,14.0,In-house production,READY
NW01,MAT-200022,E,21.0,External procurement,READY
NW01,MAT-200029,E,35.0,External procurement,READY
NW01,MAT-200055,X,35.0,Mixed procurement,READY
NW01,MAT-200061,F,45.0,In-house production,READY
NW01,MAT-200072,X,28.0,Mixed procurement,READY
NW01,MAT-200074,E,21.0,External procurement,READY
NW01,MAT-200084,X,21.0,Mixed procurement,READY
NW01,MAT-200089,F,28.0,In-house production,READY
NW01,MAT-200090,E,14.0,External procurement,READY
NW01,MAT-200092,E,45.0,External procurement,READY
NW01,MAT-200097,F,35.0,In-house production,READY
NW01,MAT-200099,F,21.0,In-house production,READY
NW01,MAT-200101,X,14.0,Mixed procurement,READY
NW01,MAT-200103,E,28.0,External procurement,READY
NW01,MAT-200106,E,60.0,External procurement,READY
NW01,MAT-200109,E,21.0,External procurement,READY
NW01,MAT-200110,E,35.0,External procurement,READY
NW01,MAT-200134,F,21.0,In-house production,READY
NW01,MAT-200136,E,14.0,External procurement,READY
NW01,MAT-200138,X,60.0,Mixed procurement,READY
NW01,MAT-200148,X,45.0,Mixed procurement,READY
NW01,MAT-200149,E,60.0,External procurement,READY
NW01,MAT-200156,X,60.0,Mixed procurement,READY
NW01,MAT-200161,E,60.0,External procurement,READY
NW01,MAT-200162,E,35.0,External procurement,READY
NW01,MAT-200167,X,14.0,Mixed procurement,READY
NW01,MAT-200170,E,21.0,External procurement,READY
NW01,MAT-200174,F,35.0,In-house production,READY
NW01,MAT-200177,E,60.0,External procurement,READY
NW01,MAT-200179,E,60.0,External procurement,READY
NW01,MAT-200180,X,45.0,Mixed procurement,READY
NW01,MAT-200182,F,21.0,In-house production,READY
NW01,MAT-200186,E,14.0,External procurement,READY
NW01,MAT-200200,X,14.0,Mixed procurement,READY
NW01,MAT-200202,X,45.0,Mixed procurement,READY
NW01,MAT-200203,F,45.0,In-house production,READY
NW01,MAT-200209,F,21.0,In-house production,READY
NW01,MAT-200220,F,21.0,In-house production,READY
NW01,MAT-200231,F,28.0,In-house production,READY
NW01,MAT-200233,E,14.0,External procurement,READY
NW01,MAT-200234,X,45.0,Mixed procurement,READY
NW01,MAT-200236,E,14.0,External procurement,READY
NW01,MAT-200239,F,21.0,In-house production,READY
NW01,MAT-200240,X,28.0,Mixed procurement,READY
NW01,MAT-200246,F,21.0,In-house production,READY
NW01,MAT-200248,F,28.0,In-house production,READY
NW01,MAT-200250,E,60.0,External procurement,READY
NW01,MAT-200253,F,28.0,In-house production,READY
NW01,MAT-200256,F,28.0,In-house production,READY
NW01,MAT-200258,E,28.0,External procurement,READY
NW01,MAT-200262,X,45.0,Mixed procurement,READY
NW01,MAT-200267,E,21.0,External procurement,READY
NW01,MAT-200269,F,28.0,In-house production,READY
NW01,MAT-200283,F,21.0,In-house production,READY
NW01,MAT-200290,E,28.0,External procurement,READY
NW01,MAT-200294,X,21.0,Mixed procurement,READY
NW01,MAT-200298,E,14.0,External procurement,READY
NW01,MAT-200305,E,45.0,External procurement,READY
NW01,MAT-200306,E,60.0,External procurement,READY
NW01,MAT-200312,X,28.0,Mixed procurement,READY
NW01,MAT-200316,X,28.0,Mixed procurement,READY
NW01,MAT-200321,X,21.0,Mixed procurement,READY
NW01,MAT-200326,E,14.0,External procurement,READY
NW01,MAT-200334,E,28.0,External procurement,READY
NW01,MAT-200336,F,28.0,In-house production,READY
NW01,MAT-200347,E,35.0,External procurement,READY
NW01,MAT-200349,F,60.0,In-house production,READY
NW01,MAT-200351,E,45.0,External procurement,READY
NW01,MAT-200371,F,21.0,In-house production,READY
NW01,MAT-200373,X,21.0,Mixed procurement,READY
NW01,MAT-200376,E,28.0,External procurement,READY
NW01,MAT-200378,F,21.0,In-house production,READY
NW01,MAT-200381,F,14.0,In-house production,READY
NW01,MAT-200393,F,14.0,In-house production,READY
NW01,MAT-200397,E,28.0,External procurement,READY
NW01,MAT-200398,X,14.0,Mixed procurement,READY
NW01,MAT-200410,X,21.0,Mixed procurement,READY
NW01,MAT-200415,X,35.0,Mixed procurement,READY
NW01,MAT-200417,F,28.0,In-house production,READY
NW01,MAT-200418,X,45.0,Mixed procurement,READY
NW01,MAT-200421,F,21.0,In-house production,READY
NW01,MAT-200422,F,21.0,In-house production,READY
NW01,MAT-200426,X,45.0,Mixed procurement,READY
NW01,MAT-200432,F,35.0,In-house production,READY
NW01,MAT-200437,F,45.0,In-house production,READY
NW01,MAT-200441,E,35.0,External procurement,READY
NW01,MAT-200453,F,35.0,In-house production,READY
NW01,MAT-200456,F,14.0,In-house production,READY
NW01,MAT-200457,X,14.0,Mixed procurement,READY
NW01,MAT-200462,F,21.0,In-house production,READY
NW01,MAT-200463,E,21.0,External procurement,READY
NW01,MAT-200469,X,35.0,Mixed procurement,READY
NW01,MAT-200473,F,21.0,In-house production,READY
NW01,MAT-200476,F,35.0,In-house production,READY
NW01,MAT-200477,E,35.0,External procurement,READY
NW01,MAT-200480,E,35.0,External procurement,READY
NW01,MAT-200482,F,45.0,In-house production,READY
NW01,MAT-200485,F,21.0,In-house production,READY
NW01,MAT-200492,E,35.0,External procurement,READY
NW01,MAT-200494,X,14.0,Mixed procurement,READY
NW01,MAT-200505,F,28.0,In-house production,READY
NW01,MAT-200509,X,28.0,Mixed procurement,READY
NW01,MAT-200510,F,60.0,In-house production,READY
NW01,MAT-200512,F,28.0,In-house production,READY
NW01,MAT-200514,E,60.0,External procurement,READY
NW01,MAT-200519,F,21.0,In-house production,READY
NW01,MAT-200521,F,21.0,In-house production,READY
NW01,MAT-200523,F,14.0,In-house production,READY
NW01,MAT-200525,E,60.0,External procurement,READY
NW01,MAT-200528,E,45.0,External procurement,READY
NW01,MAT-200537,X,60.0,Mixed procurement,READY
NW01,MAT-200541,F,14.0,In-house production,READY
NW01,MAT-200548,E,21.0,External procurement,READY
NW01,MAT-200575,F,28.0,In-house production,READY
NW01,MAT-200581,X,28.0,Mixed procurement,READY
NW01,MAT-200587,X,35.0,Mixed procurement,READY
NW01,MAT-200600,E,21.0,External procurement,READY
NW01,MAT-200610,X,45.0,Mixed procurement,READY
NW01,MAT-200617,X,60.0,Mixed procurement,READY
NW01,MAT-200622,F,35.0,In-house production,READY
NW01,MAT-200626,X,35.0,Mixed procurement,READY
NW01,MAT-200635,X,35.0,Mixed procurement,READY
NW01,MAT-200638,F,21.0,In-house production,READY
NW01,MAT-200641,F,60.0,In-house production,READY
NW01,MAT-200652,X,14.0,Mixed procurement,READY
NW01,MAT-200654,E,21.0,External procurement,READY
NW01,MAT-200657,F,21.0,In-house production,READY
NW01,MAT-200661,E,28.0,External procurement,READY
NW01,MAT-200668,F,45.0,In-house production,READY
NW01,MAT-200671,E,35.0,External procurement,READY
NW01,MAT-200680,F,28.0,In-house production,READY
NW01,MAT-200685,F,45.0,In-house production,READY
NW01,MAT-200687,E,35.0,External procurement,READY
NW01,MAT-200689,X,60.0,Mixed procurement,READY
NW01,MAT-200690,X,14.0,Mixed procurement,READY
NW01,MAT-200691,F,14.0,In-house production,READY
NW01,MAT-200693,F,60.0,In-house production,READY
NW01,MAT-200695,X,21.0,Mixed procurement,READY
NW01,MAT-200704,F,35.0,In-house production,READY
NW01,MAT-200709,E,45.0,External procurement,READY
NW01,MAT-200713,X,28.0,Mixed procurement,READY
NW01,MAT-200720,E,28.0,External procurement,READY
NW01,MAT-200724,X,28.0,Mixed procurement,READY
NW01,MAT-200736,E,21.0,External procurement,READY
NW01,MAT-200749,F,14.0,In-house production,READY
NW01,MAT-200756,F,14.0,In-house production,READY
NW01,MAT-200768,E,28.0,External procurement,READY
NW01,MAT-200782,E,45.0,External procurement,READY
NW01,MAT-200784,F,21.0,In-house production,READY
NW01,MAT-200786,X,21.0,Mixed procurement,READY
NW01,MAT-200790,X,21.0,Mixed procurement,READY
NW01,MAT-200791,E,21.0,External procurement,READY
NW01,MAT-200803,E,45.0,External procurement,READY
NW01,MAT-200813,X,60.0,Mixed procurement,READY
NW01,MAT-200815,E,28.0,External procurement,READY
NW01,MAT-200820,F,21.0,In-house production,READY
NW01,MAT-200822,F,21.0,In-house production,READY
NW01,MAT-200824,E,14.0,External procurement,READY
NW01,MAT-200829,E,28.0,External procurement,READY
NW01,MAT-200832,X,14.0,Mixed procurement,READY
NW01,MAT-200841,X,45.0,Mixed procurement,READY
NW01,MAT-200845,X,14.0,Mixed procurement,READY
NW01,MAT-200848,F,28.0,In-house production,READY
NW01,MAT-200850,E,28.0,External procurement,READY
NW01,MAT-200865,X,14.0,Mixed procurement,READY
NW01,MAT-200866,X,28.0,Mixed procurement,READY
NW01,MAT-200868,X,35.0,Mixed procurement,READY
NW01,MAT-200869,F,21.0,In-house production,READY
NW01,MAT-200871,F,21.0,In-house production,READY
NW01,MAT-200874,E,35.0,External procurement,READY
NW01,MAT-200875,E,21.0,External procurement,READY
NW01,MAT-200876,F,28.0,In-house production,READY
NW01,MAT-200877,E,60.0,External procurement,READY
NW01,MAT-200891,E,28.0,External procurement,READY
NW01,MAT-200896,F,14.0,In-house production,READY
NW01,MAT-200898,E,60.0,External procurement,READY
NW02,MAT-100001,E,21.0,External procurement,READY
NW02,MAT-100003,E,45.0,External procurement,READY
NW02,MAT-100006,E,21.0,External procurement,READY
NW02,MAT-100008,F,45.0,In-house production,READY
NW02,MAT-100009,X,45.0,Mixed procurement,READY
