plant,work_center,year,week,week_start,available_hours,baseline_demand_qty,remaining_capacity_hours,missing_capacity_hours,source_system,reason_code
NW01,P01_NW01_ASSY_1,2026,18,2026-04-27,40.6,10397.0286,0.0,10356.4286,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,19,2026-05-04,40.6,8642.3746,0.0,8601.774599999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,20,2026-05-11,40.6,11263.854,0.0,11223.253999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,21,2026-05-18,40.6,10176.4126,0.0,10135.8126,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,22,2026-05-25,40.6,8525.3464,0.0,8484.7464,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,23,2026-06-01,40.6,9369.143,0.0,9328.543,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,24,2026-06-08,40.6,11018.3904,0.0,10977.7904,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,25,2026-06-15,40.6,11235.0798,0.0,11194.4798,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,26,2026-06-22,40.6,9068.1128,0.0,9027.5128,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,27,2026-06-29,40.6,10385.0802,0.0,10344.4802,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,28,2026-07-06,40.6,11293.338399999999,0.0,11252.738399999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,29,2026-07-13,40.6,10069.412,0.0,10028.812,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,30,2026-07-20,40.6,10007.0976,0.0,9966.497599999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,31,2026-07-27,40.6,9782.4398,0.0,9741.8398,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,32,2026-08-03,40.6,9684.440999999999,0.0,9643.840999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,33,2026-08-10,40.6,9930.187,0.0,9889.587,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,34,2026-08-17,40.6,11010.5712,0.0,10969.9712,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,35,2026-08-24,40.6,10392.5566,0.0,10351.9566,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,36,2026-08-31,40.6,10886.9084,0.0,10846.3084,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,37,2026-09-07,40.6,9667.8776,0.0,9627.2776,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,38,2026-09-14,40.6,10353.1714,0.0,10312.571399999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,39,2026-09-21,40.6,11496.6192,0.0,11456.019199999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,40,2026-09-28,40.6,10441.720599999999,0.0,10401.120599999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,41,2026-10-05,40.6,10641.5598,0.0,10600.9598,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,42,2026-10-12,40.6,9975.333400000001,0.0,9934.733400000001,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,43,2026-10-19,40.6,10049.4496,0.0,10008.8496,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,44,2026-10-26,40.6,8982.7896,0.0,8942.1896,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,45,2026-11-02,40.6,10216.2494,0.0,10175.6494,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,46,2026-11-09,40.6,8562.227,0.0,8521.627,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,47,2026-11-16,40.6,10631.7974,0.0,10591.1974,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,48,2026-11-23,40.6,9001.746599999999,0.0,8961.146599999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,49,2026-11-30,40.6,10079.2428,0.0,10038.6428,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,50,2026-12-07,40.6,10290.9144,0.0,10250.3144,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,51,2026-12-14,40.6,9974.7794,0.0,9934.179399999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,52,2026-12-21,40.6,10664.246599999999,0.0,10623.646599999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,1,2027-01-04,40.6,9236.821,0.0,9196.221,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,2,2027-01-11,40.6,11085.5158,0.0,11044.915799999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,3,2027-01-18,40.6,10711.212000000001,0.0,10670.612000000001,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,4,2027-01-25,40.6,9677.499,0.0,9636.899,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,5,2027-02-01,40.6,10581.9154,0.0,10541.3154,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,6,2027-02-08,40.6,10301.4524,0.0,10260.8524,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,7,2027-02-15,40.6,8740.354,0.0,8699.753999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,8,2027-02-22,40.6,9681.9434,0.0,9641.3434,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,9,2027-03-01,40.6,9306.847,0.0,9266.247,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,10,2027-03-08,40.6,9388.7648,0.0,9348.1648,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,11,2027-03-15,40.6,10377.1706,0.0,10336.5706,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,12,2027-03-22,40.6,8814.231800000001,0.0,8773.631800000001,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,13,2027-03-29,40.6,9708.9334,0.0,9668.3334,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,14,2027-04-05,40.6,8481.8006,0.0,8441.2006,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,15,2027-04-12,40.6,8927.964399999999,0.0,8887.364399999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,16,2027-04-19,40.6,10340.619999999999,0.0,10300.019999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,17,2027-04-26,40.6,8782.6876,0.0,8742.087599999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,18,2027-05-03,40.6,9382.3248,0.0,9341.7248,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,19,2027-05-10,40.6,11377.5626,0.0,11336.962599999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,20,2027-05-17,40.6,8754.3788,0.0,8713.7788,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,21,2027-05-24,40.6,10766.8012,0.0,10726.2012,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,22,2027-05-31,40.6,8490.6844,0.0,8450.0844,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,23,2027-06-07,40.6,8986.9242,0.0,8946.3242,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,24,2027-06-14,40.6,8379.573,0.0,8338.973,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,25,2027-06-21,40.6,8808.9866,0.0,8768.3866,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,26,2027-06-28,40.6,8537.6786,0.0,8497.078599999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,27,2027-07-05,40.6,10362.1584,0.0,10321.5584,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,28,2027-07-12,40.6,10412.3004,0.0,10371.7004,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,29,2027-07-19,40.6,10361.7746,0.0,10321.1746,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,30,2027-07-26,40.6,10448.752,0.0,10408.152,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,31,2027-08-02,40.6,8558.192000000001,0.0,8517.592,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,32,2027-08-09,40.6,11084.9886,0.0,11044.3886,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,33,2027-08-16,40.6,8886.4182,0.0,8845.8182,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,34,2027-08-23,40.6,10017.8692,0.0,9977.269199999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,35,2027-08-30,40.6,10220.9812,0.0,10180.3812,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,36,2027-09-06,40.6,10904.992199999999,0.0,10864.392199999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,37,2027-09-13,40.6,10467.610999999999,0.0,10427.010999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,38,2027-09-20,40.6,9731.8022,0.0,9691.2022,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,39,2027-09-27,40.6,10739.4526,0.0,10698.8526,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,40,2027-10-04,40.6,8808.7708,0.0,8768.1708,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,41,2027-10-11,40.6,10038.6556,0.0,9998.0556,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,42,2027-10-18,40.6,10049.2744,0.0,10008.6744,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,43,2027-10-25,40.6,10854.475,0.0,10813.875,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,44,2027-11-01,40.6,10731.732600000001,0.0,10691.1326,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,45,2027-11-08,40.6,9136.947,0.0,9096.347,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,46,2027-11-15,40.6,10588.3804,0.0,10547.7804,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,47,2027-11-22,40.6,11073.435800000001,0.0,11032.8358,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,48,2027-11-29,40.6,11208.6908,0.0,11168.0908,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,49,2027-12-06,40.6,9315.43,0.0,9274.83,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,50,2027-12-13,40.6,10400.5012,0.0,10359.9012,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,51,2027-12-20,40.6,11290.589,0.0,11249.989,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2027,52,2027-12-27,40.6,8727.341,0.0,8686.741,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,1,2028-01-03,40.6,9867.897200000001,0.0,9827.2972,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,2,2028-01-10,40.6,11028.1642,0.0,10987.564199999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,3,2028-01-17,40.6,10532.1566,0.0,10491.5566,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,4,2028-01-24,40.6,10764.4126,0.0,10723.8126,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,5,2028-01-31,40.6,10299.614,0.0,10259.014,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,6,2028-02-07,40.6,10464.5294,0.0,10423.929399999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,7,2028-02-14,40.6,11259.976799999999,0.0,11219.376799999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,8,2028-02-21,40.6,9415.5008,0.0,9374.9008,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,9,2028-02-28,40.6,9340.0592,0.0,9299.4592,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,10,2028-03-06,40.6,11059.7564,0.0,11019.1564,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,11,2028-03-13,40.6,11104.19,0.0,11063.59,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,12,2028-03-20,40.6,10923.0906,0.0,10882.4906,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,13,2028-03-27,40.6,8401.033000000001,0.0,8360.433,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,14,2028-04-03,40.6,11163.6994,0.0,11123.0994,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,15,2028-04-10,40.6,10105.8814,0.0,10065.2814,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,16,2028-04-17,40.6,10763.8546,0.0,10723.2546,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,17,2028-04-24,40.6,10289.291599999999,0.0,10248.691599999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,18,2028-05-01,40.6,11324.3602,0.0,11283.760199999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,19,2028-05-08,40.6,10214.2144,0.0,10173.6144,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,20,2028-05-15,40.6,10653.3712,0.0,10612.7712,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,21,2028-05-22,40.6,10661.6446,0.0,10621.0446,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,22,2028-05-29,40.6,9034.077,0.0,8993.476999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,23,2028-06-05,40.6,10060.1602,0.0,10019.5602,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,24,2028-06-12,40.6,10102.3118,0.0,10061.7118,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,25,2028-06-19,40.6,9697.026,0.0,9656.426,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,26,2028-06-26,40.6,10947.0732,0.0,10906.4732,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,27,2028-07-03,40.6,10556.3542,0.0,10515.7542,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,28,2028-07-10,40.6,10602.1942,0.0,10561.5942,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,29,2028-07-17,40.6,8662.581400000001,0.0,8621.9814,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,30,2028-07-24,40.6,11232.4996,0.0,11191.899599999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,31,2028-07-31,40.6,9371.9264,0.0,9331.3264,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,32,2028-08-07,40.6,10987.7574,0.0,10947.1574,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,33,2028-08-14,40.6,9245.8218,0.0,9205.2218,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,34,2028-08-21,40.6,8904.5884,0.0,8863.9884,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,35,2028-08-28,40.6,10795.701000000001,0.0,10755.101,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,36,2028-09-04,40.6,11135.851799999999,0.0,11095.251799999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,37,2028-09-11,40.6,8618.057999999999,0.0,8577.457999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,38,2028-09-18,40.6,8570.2704,0.0,8529.670399999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,39,2028-09-25,40.6,9267.7744,0.0,9227.1744,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,40,2028-10-02,40.6,10313.6806,0.0,10273.0806,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,41,2028-10-09,40.6,10164.962399999999,0.0,10124.362399999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,42,2028-10-16,40.6,9480.7228,0.0,9440.1228,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,43,2028-10-23,40.6,9510.6052,0.0,9470.0052,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,44,2028-10-30,40.6,8296.0178,0.0,8255.4178,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,45,2028-11-06,40.6,9410.0082,0.0,9369.4082,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,46,2028-11-13,40.6,9049.792800000001,0.0,9009.1928,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,47,2028-11-20,40.6,9876.2384,0.0,9835.6384,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,48,2028-11-27,40.6,9319.5008,0.0,9278.9008,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,49,2028-12-04,40.6,10513.3294,0.0,10472.7294,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,50,2028-12-11,40.6,9775.9816,0.0,9735.381599999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,51,2028-12-18,40.6,9029.3366,0.0,8988.7366,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2028,52,2028-12-25,40.6,11204.9352,0.0,11164.3352,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,1,2025-12-29,40.6,7481.010200000001,0.0,7440.4102,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,2,2026-01-05,40.6,7500.1202,0.0,7459.5202,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,3,2026-01-12,40.6,7518.060600000001,0.0,7477.4606,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,4,2026-01-19,40.6,9080.709,0.0,9040.109,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,5,2026-01-26,40.6,8693.026,0.0,8652.426,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,6,2026-02-02,40.6,9601.6124,0.0,9561.0124,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,7,2026-02-09,40.6,7885.602199999999,0.0,7845.002199999999,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,8,2026-02-16,40.6,7762.523,0.0,7721.923,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,9,2026-02-23,40.6,8705.576,0.0,8664.975999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,10,2026-03-02,40.6,9561.939600000002,0.0,9521.339600000001,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,11,2026-03-09,40.6,7731.949799999999,0.0,7691.349799999999,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,12,2026-03-16,40.6,7763.541,0.0,7722.941,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,13,2026-03-23,40.6,7225.1524,0.0,7184.5524,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,14,2026-03-30,40.6,7940.4834,0.0,7899.8834,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,15,2026-04-06,40.6,8356.2158,0.0,8315.6158,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,16,2026-04-13,40.6,9212.5646,0.0,9171.9646,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,17,2026-04-20,40.6,9674.802800000001,0.0,9634.202800000001,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,18,2026-04-27,40.6,7130.4432,0.0,7089.843199999999,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,19,2026-05-04,40.6,9372.357600000001,0.0,9331.7576,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,20,2026-05-11,40.6,8984.4656,0.0,8943.8656,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,21,2026-05-18,40.6,8498.0286,0.0,8457.4286,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,22,2026-05-25,40.6,7921.3318,0.0,7880.7318,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,23,2026-06-01,40.6,7429.0248,0.0,7388.4248,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,24,2026-06-08,40.6,7837.641,0.0,7797.040999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,25,2026-06-15,40.6,8766.1016,0.0,8725.5016,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,26,2026-06-22,40.6,8492.6026,0.0,8452.0026,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,27,2026-06-29,40.6,9391.4028,0.0,9350.8028,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,28,2026-07-06,40.6,8684.644,0.0,8644.044,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,29,2026-07-13,40.6,8861.902600000001,0.0,8821.3026,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,30,2026-07-20,40.6,7609.969,0.0,7569.369,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,31,2026-07-27,40.6,8314.3848,0.0,8273.7848,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,32,2026-08-03,40.6,8804.0232,0.0,8763.4232,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,33,2026-08-10,40.6,9193.355,0.0,9152.755,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,34,2026-08-17,40.6,7593.905000000001,0.0,7553.305,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,35,2026-08-24,40.6,8838.887200000001,0.0,8798.2872,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,36,2026-08-31,40.6,9088.8508,0.0,9048.2508,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,37,2026-09-07,40.6,7914.0866,0.0,7873.486599999999,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,38,2026-09-14,40.6,7573.4862,0.0,7532.8862,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,39,2026-09-21,40.6,7331.4768,0.0,7290.8768,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,40,2026-09-28,40.6,8004.7068,0.0,7964.1068,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,41,2026-10-05,40.6,8254.94,0.0,8214.34,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,42,2026-10-12,40.6,9131.7716,0.0,9091.1716,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,43,2026-10-19,40.6,8459.1398,0.0,8418.5398,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,44,2026-10-26,40.6,7440.2148,0.0,7399.614799999999,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,45,2026-11-02,40.6,8872.7916,0.0,8832.1916,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,46,2026-11-09,40.6,7360.6308,0.0,7320.0307999999995,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,47,2026-11-16,40.6,7540.3764,0.0,7499.7764,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,48,2026-11-23,40.6,8165.494599999999,0.0,8124.894599999999,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,49,2026-11-30,40.6,9321.2022,0.0,9280.6022,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,50,2026-12-07,40.6,8462.0312,0.0,8421.431199999999,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,51,2026-12-14,40.6,7744.022000000001,0.0,7703.4220000000005,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2026,52,2026-12-21,40.6,8533.8122,0.0,8493.2122,clarix_legacy_capacity,READY
NW01,P01_NW01_EXTRUSION_1,2027,1,2027-01-04,40.6,8561.8544,0.0,8521.2544,clarix_legacy_capacity,READY
