plant,header_material,component_material,qty_per,qty_per_effective,lead_time_weeks,comp_class,component_description,bom_status,reason_code
P01_NW01_Northwind Midwest,MAT-100064,RM-COIL-TI,11.156,11.819,8,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100067,RM-COIL-AL,5.909,6.214,8,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100067,RM-COIL-SS304,8.607,9.086,3,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100070,RM-COIL-HC276,6.699,7.086,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100073,RM-COIL-SS304,7.03,7.552,2,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100075,RM-COIL-TI,4.98,5.316,6,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100078,RM-COIL-AL,6.918,7.247,6,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100083,RM-COIL-HC276,15.68,16.442,3,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100084,RM-COIL-TI,4.923,5.197,3,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100090,RM-COIL-SS304,9.814,10.43,4,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100098,RM-COIL-AL,4.513,4.727,6,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100114,RM-COIL-NI,8.5,8.973,4,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100119,RM-COIL-SS304,11.074,11.679,3,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100123,RM-COIL-TI,5.502,5.882,6,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100126,RM-COIL-TI,6.09,6.367,4,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100130,RM-COIL-HC276,7.654,8.15,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100130,RM-COIL-SS316,7.359,7.84,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100131,RM-COIL-SS316,12.138,12.517,8,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100134,RM-COIL-TI,5.222,5.497,4,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100140,RM-COIL-HC276,7.129,7.702,3,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100141,RM-COIL-NI,5.838,6.289,4,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100141,RM-COIL-AL,4.812,4.987,2,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100146,RM-COIL-SS304,5.812,6.07,4,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100147,RM-COIL-TI,6.039,6.264,2,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100147,RM-COIL-NI,5.682,5.842,4,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100150,RM-COIL-NI,8.506,9.005,4,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100150,RM-COIL-HC276,10.9,11.765,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100159,RM-COIL-HC276,7.82,8.36,2,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100160,RM-COIL-SS316,12.873,13.366,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100160,RM-COIL-AL,8.843,9.191,3,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100163,RM-COIL-TI,5.764,6.037,2,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100179,RM-COIL-AL,10.281,10.675,4,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100182,RM-COIL-HC276,7.696,7.959,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100184,RM-COIL-AL,7.62,8.051,8,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100185,RM-COIL-AL,8.87,9.434,2,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100186,RM-COIL-AL,5.877,6.355,6,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100203,RM-COIL-HC276,12.338,12.798,2,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100209,RM-COIL-SS316,11.768,12.087,6,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100214,RM-COIL-AL,4.524,4.72,8,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100221,RM-COIL-HC276,12.883,13.562,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100225,RM-COIL-NI,5.071,5.307,2,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100226,RM-COIL-SS316,5.875,5.999,6,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100230,RM-COIL-SS316,6.798,7.204,2,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100239,RM-COIL-SS304,9.988,10.4,2,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100239,RM-COIL-AL,8.052,8.624,4,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100242,RM-COIL-TI,6.29,6.654,2,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100247,RM-COIL-SS304,9.282,9.923,3,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100249,RM-COIL-SS316,6.353,6.843,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100249,RM-COIL-AL,4.376,4.638,2,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100252,RM-COIL-HC276,8.188,8.575,6,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100252,RM-COIL-TI,5.984,6.403,2,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100264,RM-COIL-AL,4.09,4.184,8,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100269,RM-COIL-AL,9.396,9.575,6,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100270,RM-COIL-NI,7.76,8.441,4,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100273,RM-COIL-NI,6.457,6.914,3,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100273,RM-COIL-TI,5.671,6.044,6,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100277,RM-COIL-SS304,7.215,7.477,2,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100277,RM-COIL-TI,5.507,5.91,2,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100282,RM-COIL-TI,5.906,6.312,3,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100283,RM-COIL-SS304,7.722,7.955,4,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100284,RM-COIL-AL,4.972,5.183,4,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100286,RM-COIL-NI,6.02,6.393,2,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100287,RM-COIL-HC276,13.151,13.92,2,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100290,RM-COIL-SS316,8.455,8.77,2,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100294,RM-COIL-NI,8.436,9.087,6,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100299,RM-COIL-AL,10.195,10.657,3,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100299,RM-COIL-TI,9.585,10.109,3,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100301,RM-COIL-AL,4.328,4.582,2,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100301,RM-COIL-SS304,6.642,7.06,6,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100305,RM-COIL-SS316,12.935,13.548,8,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100305,RM-COIL-HC276,12.026,12.438,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100311,RM-COIL-SS304,13.258,13.713,6,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100315,RM-COIL-SS316,6.884,7.219,4,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100317,RM-COIL-AL,7.286,7.61,8,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100325,RM-COIL-SS304,6.525,6.742,3,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100329,RM-COIL-AL,7.179,7.483,3,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100329,RM-COIL-SS316,13.255,13.975,6,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100337,RM-COIL-HC276,6.571,6.823,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100339,RM-COIL-SS304,5.891,6.401,2,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100343,RM-COIL-HC276,10.531,11.389,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100345,RM-COIL-SS316,6.128,6.558,2,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100350,RM-COIL-SS316,6.734,7.02,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100353,RM-COIL-NI,9.631,10.375,2,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100359,RM-COIL-NI,9.632,10.021,3,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100360,RM-COIL-HC276,8.163,8.623,2,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100367,RM-COIL-HC276,9.444,9.855,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100370,RM-COIL-SS316,7.803,8.381,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100374,RM-COIL-NI,6.598,6.804,3,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100380,RM-COIL-HC276,6.566,6.791,6,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100380,RM-COIL-AL,4.095,4.185,4,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100395,RM-COIL-AL,9.079,9.446,8,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100395,RM-COIL-SS316,10.565,11.045,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100398,RM-COIL-AL,4.92,5.069,6,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100416,RM-COIL-HC276,7.012,7.494,6,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100420,RM-COIL-TI,5.608,5.869,8,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100422,RM-COIL-HC276,6.824,7.127,6,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100436,RM-COIL-TI,7.855,8.227,3,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100436,RM-COIL-HC276,14.008,14.774,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100440,RM-COIL-SS316,6.799,7.164,4,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100444,RM-COIL-HC276,8.899,9.347,2,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100444,RM-COIL-NI,4.988,5.195,6,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100447,RM-COIL-SS316,6.997,7.477,2,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100449,RM-COIL-NI,10.6,11.016,3,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100454,RM-COIL-SS316,7.028,7.262,4,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100461,RM-COIL-TI,8.443,9.095,6,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100461,RM-COIL-HC276,11.534,11.94,6,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100463,RM-COIL-SS316,8.369,8.699,8,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100464,RM-COIL-HC276,8.577,8.801,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100468,RM-COIL-NI,5.767,5.965,8,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100472,RM-COIL-AL,7.518,7.895,6,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100472,RM-COIL-TI,9.89,10.543,3,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100473,RM-COIL-TI,10.504,11.186,8,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100473,RM-COIL-SS304,13.967,15.061,8,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100477,RM-COIL-HC276,8.866,9.569,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100479,RM-COIL-SS316,13.262,13.969,2,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100482,RM-COIL-HC276,8.307,8.992,2,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100492,RM-COIL-SS304,5.73,6.025,8,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100496,RM-COIL-HC276,15.462,16.493,6,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100500,RM-COIL-SS304,5.997,6.214,8,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100500,RM-COIL-TI,4.727,4.87,2,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100509,RM-COIL-HC276,13.871,14.616,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100509,RM-COIL-AL,7.889,8.208,6,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100513,RM-COIL-SS316,8.366,8.906,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100514,RM-COIL-HC276,7.223,7.39,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100514,RM-COIL-AL,5.194,5.335,4,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100516,RM-COIL-TI,4.445,4.652,4,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100518,RM-COIL-SS316,8.183,8.671,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100518,RM-COIL-SS304,7.722,8.334,8,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100519,RM-COIL-SS304,5.612,5.89,2,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100520,RM-COIL-SS304,13.144,13.554,6,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100520,RM-COIL-HC276,16.263,17.117,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100525,RM-COIL-AL,4.279,4.434,3,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100528,RM-COIL-NI,5.087,5.287,8,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100529,RM-COIL-NI,5.748,6.045,8,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100538,RM-COIL-AL,4.365,4.559,4,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100539,RM-COIL-SS316,11.017,11.428,4,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100540,RM-COIL-NI,6.61,7.147,6,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100547,RM-COIL-AL,5.472,5.593,2,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100552,RM-COIL-SS304,5.785,5.953,4,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100556,RM-COIL-AL,7.395,7.716,4,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100557,RM-COIL-HC276,15.075,15.713,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100558,RM-COIL-HC276,10.066,10.906,6,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100558,RM-COIL-SS304,8.048,8.652,4,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100561,RM-COIL-SS304,7.05,7.579,8,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100566,RM-COIL-SS304,6.169,6.62,4,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100580,RM-COIL-SS316,13.885,14.688,4,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100580,RM-COIL-SS304,9.601,10.185,6,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100583,RM-COIL-AL,6.624,6.924,2,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100584,RM-COIL-SS316,8.402,8.851,6,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100584,RM-COIL-HC276,7.468,7.755,3,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100587,RM-COIL-TI,8.076,8.576,2,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100587,RM-COIL-NI,12.72,13.449,3,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100592,RM-COIL-SS304,10.685,11.342,4,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100593,RM-COIL-HC276,16.003,16.91,3,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100596,RM-COIL-SS316,8.191,8.521,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100596,RM-COIL-TI,4.464,4.617,6,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100600,RM-COIL-HC276,7.798,8.27,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100604,RM-COIL-NI,12.758,13.754,6,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100605,RM-COIL-NI,11.829,12.452,3,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100608,RM-COIL-NI,5.232,5.464,6,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100610,RM-COIL-AL,4.341,4.648,2,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100610,RM-COIL-HC276,6.839,7.108,3,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100618,RM-COIL-SS316,8.853,9.328,8,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100621,RM-COIL-HC276,6.996,7.385,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100623,RM-COIL-NI,9.987,10.502,4,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100625,RM-COIL-SS304,6.472,6.911,8,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100629,RM-COIL-NI,9.662,10.109,2,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100633,RM-COIL-TI,4.974,5.216,3,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100643,RM-COIL-AL,6.63,6.918,6,Plates,COIL ALUMINUM 1300mm 0.6mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100643,RM-COIL-HC276,10.18,10.727,3,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100644,RM-COIL-SS304,6.302,6.683,6,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100646,RM-COIL-SS316,8.077,8.572,4,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100646,RM-COIL-SS304,6.943,7.373,8,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100647,RM-COIL-SS316,11.21,11.698,4,Plates,COIL SS316 1250mm 0.5mm,Active,READY
