plant,plant_name,snapshot_date,ops_group,material,material_description,stock_qty,atp_qty,safety_stock_qty,in_transit_qty,total_stock_value_eur,reason_code
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100395,HT80/PL.46 304TL 0.4mm,7516,6802,922,2131,152611.08,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100398,S140/PL.49 304TL 0.5mm,3872,3544,81,1839,176440.51,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100416,MX100/PL.17 304TL 0.7mm,2691,1525,780,2631,292999.47,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100420,S62/PL.21 304TL 0.5mm,11010,8763,948,2211,321237.71,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100422,S140/PL.23 304TL 0.5mm,9626,8209,99,3127,492798.23,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100436,XL420/PL.37 304TL 0.4mm,9427,8171,1126,2651,634124.46,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100440,MX100/PL.41 304TL 0.5mm,7494,4288,195,2228,206199.2,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100444,S62/PL.45 304TL 0.8mm,9978,5831,1099,952,442634.34,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100447,S160/PL.48 304TL 0.4mm,595,335,263,3086,215287.78,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100449,XL520/PL.50 304TL 0.7mm,1918,1675,828,1439,43219.03,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100454,MX250/PL.05 304TL 0.6mm,11531,10209,106,358,193672.66,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100461,XL520/PL.12 304TL 0.7mm,10513,8737,474,79,624463.26,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100463,PRO-12X/PL.14 304TL 0.7mm,3740,3370,1158,745,85540.14,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100464,MX100/PL.15 304TL 0.4mm,8545,6172,779,1437,432105.55,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100468,S62/PL.19 304TL 0.8mm,10220,8686,570,723,247984.09,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100472,XL420/PL.23 304TL 0.6mm,1743,1200,831,1170,144611.06,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100473,XL520/PL.24 304TL 0.4mm,4154,2326,492,3370,427187.83,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100477,MX200/PL.28 304TL 0.4mm,9533,7224,815,1331,550669.56,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100479,HT80/PL.30 304TL 0.7mm,5113,4520,1028,460,75983.43,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100482,S140/PL.33 304TL 0.8mm,425,362,60,2190,102867.17,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100492,S62/PL.43 304TL 0.5mm,1927,1109,868,1954,159794.07,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100496,XL420/PL.47 304TL 0.5mm,4575,4002,466,2724,200497.98,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100500,MX100/PL.01 304TL 0.3mm,1893,1482,722,2872,216024.97,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100509,XL520/PL.10 304TL 0.5mm,5889,3235,589,2910,204949.0,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100513,MX200/PL.14 304TL 0.6mm,11326,8431,1154,105,83984.05,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100514,MX250/PL.15 304TL 0.4mm,3748,2592,654,798,200804.66,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100516,S62/PL.17 304TL 0.6mm,8497,5395,975,2465,408984.42,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100518,S140/PL.19 304TL 0.6mm,619,554,773,2272,166444.77,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100519,S160/PL.20 304TL 0.7mm,5876,5373,791,1577,43000.02,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100520,XL420/PL.21 304TL 0.7mm,6279,4625,795,2823,287526.32,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100525,MX200/PL.26 304TL 0.6mm,11863,7990,639,3087,713445.63,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100528,S62/PL.29 304TL 0.7mm,2214,1880,1162,1929,25659.39,READY
NW01,Northwind Midwest,2026-04-03,OPS-S120,MAT-100529,S120/PL.30 304TL 0.3mm,10420,5386,499,1950,541810.09,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100538,MX250/PL.39 304TL 0.5mm,3030,1843,925,2415,325250.28,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100539,HT80/PL.40 304TL 0.5mm,2360,1771,946,607,74653.86,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100540,S62/PL.41 304TL 0.3mm,8286,5901,1127,3074,655423.03,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100547,PRO-12X/PL.48 304TL 0.6mm,11826,10878,1155,880,47869.49,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100552,S62/PL.03 304TL 0.7mm,4082,2680,787,1015,201363.66,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100556,XL420/PL.07 304TL 0.3mm,11391,9313,452,3008,716134.68,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100557,XL520/PL.08 304TL 0.7mm,6262,4368,861,3173,539108.97,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100558,PRO-9X/PL.09 304TL 0.4mm,11211,8995,463,953,240485.63,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100561,MX200/PL.12 304TL 0.6mm,11813,6174,421,2645,264263.01,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100566,S140/PL.17 304TL 0.6mm,2066,1136,1016,2734,35465.8,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100580,XL420/PL.31 304TL 0.7mm,4772,2660,650,567,77242.73,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100583,PRO-12X/PL.34 304TL 0.5mm,11063,7030,446,3,307698.42,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100584,MX100/PL.35 304TL 0.7mm,5921,3118,416,1171,64847.43,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100587,HT80/PL.38 304TL 0.3mm,364,241,1085,2927,94995.94,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100592,XL420/PL.43 304TL 0.8mm,10958,6595,1173,1077,245298.89,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100593,XL520/PL.44 304TL 0.6mm,8992,8203,1189,1198,424450.51,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100596,MX100/PL.47 304TL 0.4mm,10654,5581,1115,1021,265061.05,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100600,S62/PL.01 304TL 0.3mm,5248,4538,611,2446,456686.82,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100604,XL420/PL.05 304TL 0.5mm,7039,5397,976,2011,233134.82,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100605,XL520/PL.06 304TL 0.3mm,7440,6033,125,333,185495.8,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100608,MX100/PL.09 304TL 0.5mm,2370,1604,1040,3102,181973.53,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100610,MX250/PL.11 304TL 0.5mm,2961,2324,179,1618,234504.52,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100618,PRO-9X/PL.19 304TL 0.5mm,1405,791,684,2449,123631.42,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100621,MX200/PL.22 304TL 0.8mm,2673,1803,542,2816,183536.59,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100623,HT80/PL.24 304TL 0.6mm,3451,3249,715,3137,97103.15,READY
NW01,Northwind Midwest,2026-04-03,OPS-S120,MAT-100625,S120/PL.26 304TL 0.6mm,3500,1783,587,2051,285035.99,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100629,XL520/PL.30 304TL 0.6mm,8468,7020,581,2471,472629.25,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100633,MX200/PL.34 304TL 0.4mm,5671,5104,638,2141,219580.37,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100643,PRO-12X/PL.44 304TL 0.5mm,8907,4514,346,588,38385.31,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100644,MX100/PL.45 304TL 0.5mm,4244,3199,1172,1981,239583.65,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100646,MX250/PL.47 304TL 0.6mm,7485,4474,747,1499,211340.77,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100647,HT80/PL.48 304TL 0.3mm,6423,3600,398,845,276889.53,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100651,S160/PL.02 304TL 0.4mm,7421,3748,1155,1862,337008.96,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100654,PRO-9X/PL.05 304TL 0.6mm,3527,3310,855,1625,184545.14,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100657,MX200/PL.08 304TL 0.5mm,11323,6941,362,1945,357374.35,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100662,S140/PL.13 304TL 0.4mm,6676,5761,687,2982,256454.15,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100674,S140/PL.25 304TL 0.5mm,5888,4460,116,590,68837.25,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100675,S160/PL.26 304TL 0.3mm,2517,2084,933,1867,25679.86,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100676,XL420/PL.27 304TL 0.3mm,732,539,472,435,15213.28,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100677,XL520/PL.28 304TL 0.5mm,8900,8268,591,851,91931.64,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100681,MX200/PL.32 304TL 0.7mm,9581,7819,202,524,207821.67,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100683,HT80/PL.34 304TL 0.6mm,9334,6564,88,1704,122048.13,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100687,S160/PL.38 304TL 0.5mm,3146,2977,252,3114,33551.57,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100691,PRO-12X/PL.42 304TL 0.5mm,248,135,560,587,46650.53,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100695,HT80/PL.46 304TL 0.5mm,6886,5546,911,625,315122.58,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100700,XL420/PL.01 304TL 0.5mm,11476,6040,920,212,469510.02,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100701,XL520/PL.02 304TL 0.7mm,9267,8640,159,1927,244409.07,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100708,S62/PL.09 304TL 0.5mm,2356,2220,496,2566,153599.31,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100711,S160/PL.12 304TL 0.7mm,11218,10578,1127,1826,130763.91,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100717,MX200/PL.18 304TL 0.5mm,4529,3250,475,276,60020.47,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100719,HT80/PL.20 304TL 0.7mm,1896,1245,684,1928,105415.81,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100722,S140/PL.23 304TL 0.7mm,4511,3739,509,686,50156.48,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100723,S160/PL.24 304TL 0.7mm,4704,3622,506,365,268369.62,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100725,XL520/PL.26 304TL 0.5mm,8789,6838,474,1611,241601.45,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100726,PRO-9X/PL.27 304TL 0.7mm,2161,1683,373,76,38076.89,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100732,S62/PL.33 304TL 0.7mm,11778,9479,888,729,549703.58,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100741,MX200/PL.42 304TL 0.5mm,5413,5101,1088,692,19913.62,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100753,MX200/PL.04 304TL 0.3mm,3869,3460,822,701,149438.05,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100754,MX250/PL.05 304TL 0.4mm,8785,6336,653,2202,79704.36,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100761,XL520/PL.12 304TL 0.8mm,7852,4639,979,2220,57773.09,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100762,PRO-9X/PL.13 304TL 0.7mm,10664,5964,386,2245,621707.61,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100765,MX200/PL.16 304TL 0.7mm,8946,5474,390,1207,214284.2,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100780,S62/PL.31 304TL 0.8mm,6091,3392,876,2854,65586.76,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100785,XL520/PL.36 304TL 0.8mm,1144,983,691,1485,96628.76,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100789,MX200/PL.40 304TL 0.5mm,8553,7555,977,2122,57766.65,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100791,HT80/PL.42 304TL 0.3mm,7472,5286,433,337,305414.1,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100792,S62/PL.43 304TL 0.6mm,11600,10216,1152,2166,293568.77,READY
NW01,Northwind Midwest,2026-04-03,OPS-S120,MAT-100793,S120/PL.44 304TL 0.7mm,4592,3058,657,101,106191.1,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100804,S62/PL.05 304TL 0.4mm,8534,7187,737,40,477084.39,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100808,XL420/PL.09 304TL 0.4mm,10371,9818,997,1781,439064.57,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100810,PRO-9X/PL.11 304TL 0.3mm,6746,3711,401,3443,179750.95,READY
