lane_id,origin_country,destination_country,transit_days_synth,lane_cost_index_synth,lane_reliability_synth,generation_logic,generation_version,random_seed
LV__IN,LV,IN,30,2.4082,0.6988,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__CN,LV,CN,25,1.8031,0.6371,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__US2,LV,US2,18,1.0912,0.8203,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__US3,LV,US3,20,1.7731,0.7817,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__ES,LV,ES,22,2.0987,0.9117,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__CH,LV,CH,18,1.6367,0.8338,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__LV,LV,LV,1,1.0035,0.6457,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__IL,LV,IL,29,0.9491,0.8566,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__BR,LV,BR,23,2.1163,0.8618,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__CL,LV,CL,15,1.3672,0.9504,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__AU,LV,AU,26,1.2599,0.742,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__VN,LV,VN,24,1.3345,0.6615,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__US,IL,US,29,2.3914,0.7708,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__DE,IL,DE,7,1.4516,0.8846,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__PL,IL,PL,8,2.3914,0.9043,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__IN,IL,IN,18,1.6149,0.7468,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__CN,IL,CN,21,2.0202,0.971,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__US2,IL,US2,30,1.0014,0.9317,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__US3,IL,US3,27,1.0073,0.8294,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__ES,IL,ES,21,1.9664,0.6048,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__CH,IL,CH,6,2.2032,0.7152,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__LV,IL,LV,16,1.5795,0.7725,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__IL,IL,IL,1,2.3614,0.9047,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__BR,IL,BR,12,0.988,0.9888,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__CL,IL,CL,5,1.2826,0.9264,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__AU,IL,AU,27,0.9809,0.9897,seeded_country_pair_matrix,wave1_seeded_v1,42
IL__VN,IL,VN,4,1.9052,0.6353,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__US,BR,US,21,2.325,0.6113,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__DE,BR,DE,10,1.0431,0.9029,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__PL,BR,PL,10,1.1369,0.9551,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__IN,BR,IN,11,0.8615,0.6021,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__CN,BR,CN,21,0.8878,0.8363,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__US2,BR,US2,30,1.2055,0.9313,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__US3,BR,US3,25,0.8973,0.9124,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__ES,BR,ES,30,2.1126,0.8723,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__CH,BR,CH,29,2.2246,0.6157,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__LV,BR,LV,16,1.0124,0.7968,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__IL,BR,IL,9,2.0668,0.8457,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__BR,BR,BR,1,1.0639,0.8865,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__CL,BR,CL,26,1.1282,0.7056,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__AU,BR,AU,6,2.4663,0.8385,seeded_country_pair_matrix,wave1_seeded_v1,42
BR__VN,BR,VN,23,0.8927,0.8404,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__US,CL,US,4,2.303,0.8767,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__DE,CL,DE,5,1.0943,0.6358,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__PL,CL,PL,24,2.466,0.7788,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__IN,CL,IN,8,2.1329,0.8482,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__CN,CL,CN,27,1.0467,0.9689,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__US2,CL,US2,19,1.3123,0.8254,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__US3,CL,US3,18,1.9037,0.9668,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__ES,CL,ES,22,1.0523,0.7983,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__CH,CL,CH,22,1.6061,0.6465,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__LV,CL,LV,14,1.028,0.7084,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__IL,CL,IL,6,1.5274,0.8383,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__BR,CL,BR,12,1.8789,0.7606,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__CL,CL,CL,1,1.17,0.8294,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__AU,CL,AU,15,1.339,0.6141,seeded_country_pair_matrix,wave1_seeded_v1,42
CL__VN,CL,VN,12,1.606,0.688,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__US,AU,US,15,1.7732,0.8207,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__DE,AU,DE,19,1.9015,0.8544,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__PL,AU,PL,22,1.3376,0.9071,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__IN,AU,IN,13,1.5334,0.8441,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__CN,AU,CN,18,1.4131,0.8,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__US2,AU,US2,25,2.3069,0.9592,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__US3,AU,US3,23,1.6562,0.8029,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__ES,AU,ES,11,1.3346,0.9266,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__CH,AU,CH,25,1.64,0.6452,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__LV,AU,LV,5,2.2314,0.6217,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__IL,AU,IL,5,1.277,0.7303,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__BR,AU,BR,17,1.3336,0.8897,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__CL,AU,CL,8,0.825,0.9226,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__AU,AU,AU,3,1.4328,0.6599,seeded_country_pair_matrix,wave1_seeded_v1,42
AU__VN,AU,VN,27,1.8214,0.6467,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__US,VN,US,17,2.4293,0.9882,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__DE,VN,DE,13,2.1126,0.7213,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__PL,VN,PL,24,1.9992,0.7513,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__IN,VN,IN,22,1.8895,0.6042,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__CN,VN,CN,22,1.6927,0.6639,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__US2,VN,US2,9,1.082,0.9262,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__US3,VN,US3,28,1.7451,0.9272,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__ES,VN,ES,30,2.4835,0.6552,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__CH,VN,CH,17,1.4674,0.6312,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__LV,VN,LV,16,2.0841,0.7692,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__IL,VN,IL,16,1.0561,0.6706,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__BR,VN,BR,16,2.3421,0.6174,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__CL,VN,CL,21,1.2965,0.7912,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__AU,VN,AU,10,1.797,0.7924,seeded_country_pair_matrix,wave1_seeded_v1,42
VN__VN,VN,VN,1,1.2142,0.929,seeded_country_pair_matrix,wave1_seeded_v1,42
