plant,header_material,component_material,effective_component_qty,scrap_factor
NW01,MAT-100179,RM-COIL-AL,10.675,1.0383
NW01,MAT-100182,RM-COIL-HC276,7.959,1.0342
NW01,MAT-100184,RM-COIL-AL,8.051,1.0565
NW01,MAT-100185,RM-COIL-AL,9.434,1.0636
NW01,MAT-100186,RM-COIL-AL,6.355,1.0813
NW01,MAT-100203,RM-COIL-HC276,12.798,1.0373
NW01,MAT-100209,RM-COIL-SS316,12.087,1.0271
NW01,MAT-100214,RM-COIL-AL,4.72,1.0434
NW01,MAT-100221,RM-COIL-HC276,13.562,1.0527
NW01,MAT-100225,RM-COIL-NI,5.307,1.0465
NW01,MAT-100226,RM-COIL-SS316,5.999,1.0211
NW01,MAT-100230,RM-COIL-SS316,7.204,1.0597
NW01,MAT-100239,RM-COIL-SS304,10.4,1.0412
NW01,MAT-100239,RM-COIL-AL,8.624,1.0711
NW01,MAT-100242,RM-COIL-TI,6.654,1.0578
NW01,MAT-100247,RM-COIL-SS304,9.923,1.0691
NW01,MAT-100249,RM-COIL-SS316,6.843,1.0772
NW01,MAT-100249,RM-COIL-AL,4.638,1.0598
NW01,MAT-100252,RM-COIL-HC276,8.575,1.0473
NW01,MAT-100252,RM-COIL-TI,6.403,1.0701
NW01,MAT-100264,RM-COIL-AL,4.184,1.0231
NW01,MAT-100269,RM-COIL-AL,9.575,1.0191
NW01,MAT-100270,RM-COIL-NI,8.441,1.0877
NW01,MAT-100273,RM-COIL-NI,6.914,1.0708
NW01,MAT-100273,RM-COIL-TI,6.044,1.0658
NW01,MAT-100277,RM-COIL-SS304,7.477,1.0363
NW01,MAT-100277,RM-COIL-TI,5.91,1.0732
NW01,MAT-100282,RM-COIL-TI,6.312,1.0688
NW01,MAT-100283,RM-COIL-SS304,7.955,1.0302
NW01,MAT-100284,RM-COIL-AL,5.183,1.0424
NW01,MAT-100286,RM-COIL-NI,6.393,1.0619
NW01,MAT-100287,RM-COIL-HC276,13.92,1.0585
NW01,MAT-100290,RM-COIL-SS316,8.77,1.0373
NW01,MAT-100294,RM-COIL-NI,9.087,1.0772
NW01,MAT-100299,RM-COIL-AL,10.657,1.0453
NW01,MAT-100299,RM-COIL-TI,10.109,1.0547
NW01,MAT-100301,RM-COIL-AL,4.582,1.0588
NW01,MAT-100301,RM-COIL-SS304,7.06,1.063
NW01,MAT-100305,RM-COIL-SS316,13.548,1.0474
NW01,MAT-100305,RM-COIL-HC276,12.438,1.0343
NW01,MAT-100311,RM-COIL-SS304,13.713,1.0343
NW01,MAT-100315,RM-COIL-SS316,7.219,1.0486
NW01,MAT-100317,RM-COIL-AL,7.61,1.0445
NW01,MAT-100325,RM-COIL-SS304,6.742,1.0333
NW01,MAT-100329,RM-COIL-AL,7.483,1.0424
NW01,MAT-100329,RM-COIL-SS316,13.975,1.0543
NW01,MAT-100337,RM-COIL-HC276,6.823,1.0384
NW01,MAT-100339,RM-COIL-SS304,6.401,1.0866
NW01,MAT-100343,RM-COIL-HC276,11.389,1.0815
NW01,MAT-100345,RM-COIL-SS316,6.558,1.0701
NW01,MAT-100350,RM-COIL-SS316,7.02,1.0424
NW01,MAT-100353,RM-COIL-NI,10.375,1.0772
NW01,MAT-100359,RM-COIL-NI,10.021,1.0404
NW01,MAT-100360,RM-COIL-HC276,8.623,1.0563
NW01,MAT-100367,RM-COIL-HC276,9.855,1.0435
NW01,MAT-100370,RM-COIL-SS316,8.381,1.0741
NW01,MAT-100374,RM-COIL-NI,6.804,1.0312
NW01,MAT-100380,RM-COIL-HC276,6.791,1.0342
NW01,MAT-100380,RM-COIL-AL,4.185,1.0221
NW01,MAT-100395,RM-COIL-AL,9.446,1.0404
NW01,MAT-100395,RM-COIL-SS316,11.045,1.0454
NW01,MAT-100398,RM-COIL-AL,5.069,1.0302
NW01,MAT-100416,RM-COIL-HC276,7.494,1.0688
NW01,MAT-100420,RM-COIL-TI,5.869,1.0465
NW01,MAT-100422,RM-COIL-HC276,7.127,1.0444
NW01,MAT-100436,RM-COIL-TI,8.227,1.0473
NW01,MAT-100436,RM-COIL-HC276,14.774,1.0547
NW01,MAT-100440,RM-COIL-SS316,7.164,1.0537
NW01,MAT-100444,RM-COIL-HC276,9.347,1.0503
NW01,MAT-100444,RM-COIL-NI,5.195,1.0414
NW01,MAT-100447,RM-COIL-SS316,7.477,1.0686
NW01,MAT-100449,RM-COIL-NI,11.016,1.0392
NW01,MAT-100454,RM-COIL-SS316,7.262,1.0333
NW01,MAT-100461,RM-COIL-TI,9.095,1.0772
NW01,MAT-100461,RM-COIL-HC276,11.94,1.0352
NW01,MAT-100463,RM-COIL-SS316,8.699,1.0394
NW01,MAT-100464,RM-COIL-HC276,8.801,1.0261
NW01,MAT-100468,RM-COIL-NI,5.965,1.0343
NW01,MAT-100472,RM-COIL-AL,7.895,1.0502
NW01,MAT-100472,RM-COIL-TI,10.543,1.066
NW01,MAT-100473,RM-COIL-TI,11.186,1.0649
NW01,MAT-100473,RM-COIL-SS304,15.061,1.0783
NW01,MAT-100477,RM-COIL-HC276,9.569,1.0793
NW01,MAT-100479,RM-COIL-SS316,13.969,1.0533
NW01,MAT-100482,RM-COIL-HC276,8.992,1.0825
NW01,MAT-100492,RM-COIL-SS304,6.025,1.0515
NW01,MAT-100496,RM-COIL-HC276,16.493,1.0667
NW01,MAT-100500,RM-COIL-SS304,6.214,1.0362
NW01,MAT-100500,RM-COIL-TI,4.87,1.0302
NW01,MAT-100509,RM-COIL-HC276,14.616,1.0537
NW01,MAT-100509,RM-COIL-AL,8.208,1.0404
NW01,MAT-100513,RM-COIL-SS316,8.906,1.0645
NW01,MAT-100514,RM-COIL-HC276,7.39,1.0231
NW01,MAT-100514,RM-COIL-AL,5.335,1.0272
NW01,MAT-100516,RM-COIL-TI,4.652,1.0465
NW01,MAT-100518,RM-COIL-SS316,8.671,1.0596
NW01,MAT-100518,RM-COIL-SS304,8.334,1.0793
NW01,MAT-100519,RM-COIL-SS304,5.89,1.0496
NW01,MAT-100520,RM-COIL-SS304,13.554,1.0312
NW01,MAT-100520,RM-COIL-HC276,17.117,1.0525
NW01,MAT-100525,RM-COIL-AL,4.434,1.0363
NW01,MAT-100528,RM-COIL-NI,5.287,1.0394
NW01,MAT-100529,RM-COIL-NI,6.045,1.0516
NW01,MAT-100538,RM-COIL-AL,4.559,1.0444
NW01,MAT-100539,RM-COIL-SS316,11.428,1.0373
NW01,MAT-100540,RM-COIL-NI,7.147,1.0812
NW01,MAT-100547,RM-COIL-AL,5.593,1.0221
NW01,MAT-100552,RM-COIL-SS304,5.953,1.0291
NW01,MAT-100556,RM-COIL-AL,7.716,1.0434
NW01,MAT-100557,RM-COIL-HC276,15.713,1.0423
NW01,MAT-100558,RM-COIL-HC276,10.906,1.0834
NW01,MAT-100558,RM-COIL-SS304,8.652,1.075
NW01,MAT-100561,RM-COIL-SS304,7.579,1.0751
NW01,MAT-100566,RM-COIL-SS304,6.62,1.0731
NW01,MAT-100580,RM-COIL-SS316,14.688,1.0578
NW01,MAT-100580,RM-COIL-SS304,10.185,1.0608
NW01,MAT-100583,RM-COIL-AL,6.924,1.0453
NW01,MAT-100584,RM-COIL-SS316,8.851,1.0534
NW01,MAT-100584,RM-COIL-HC276,7.755,1.0384
NW01,MAT-100587,RM-COIL-TI,8.576,1.0619
NW01,MAT-100587,RM-COIL-NI,13.449,1.0573
NW01,MAT-100592,RM-COIL-SS304,11.342,1.0615
NW01,MAT-100593,RM-COIL-HC276,16.91,1.0567
NW01,MAT-100596,RM-COIL-SS316,8.521,1.0403
NW01,MAT-100596,RM-COIL-TI,4.617,1.0343
NW01,MAT-100600,RM-COIL-HC276,8.27,1.0605
NW01,MAT-100604,RM-COIL-NI,13.754,1.0781
NW01,MAT-100605,RM-COIL-NI,12.452,1.0527
NW01,MAT-100608,RM-COIL-NI,5.464,1.0444
NW01,MAT-100610,RM-COIL-AL,4.648,1.0707
NW01,MAT-100610,RM-COIL-HC276,7.108,1.0393
NW01,MAT-100618,RM-COIL-SS316,9.328,1.0536
NW01,MAT-100621,RM-COIL-HC276,7.385,1.0556
NW01,MAT-100623,RM-COIL-NI,10.502,1.0516
NW01,MAT-100625,RM-COIL-SS304,6.911,1.0678
NW01,MAT-100629,RM-COIL-NI,10.109,1.0463
NW01,MAT-100633,RM-COIL-TI,5.216,1.0486
NW01,MAT-100643,RM-COIL-AL,6.918,1.0435
NW01,MAT-100643,RM-COIL-HC276,10.727,1.0537
NW01,MAT-100644,RM-COIL-SS304,6.683,1.0605
NW01,MAT-100646,RM-COIL-SS316,8.572,1.0613
NW01,MAT-100646,RM-COIL-SS304,7.373,1.0619
NW01,MAT-100647,RM-COIL-SS316,11.698,1.0435
NW01,MAT-100651,RM-COIL-HC276,7.136,1.0433
NW01,MAT-100654,RM-COIL-SS316,8.466,1.0674
NW01,MAT-100657,RM-COIL-SS304,6.144,1.0333
NW01,MAT-100657,RM-COIL-HC276,9.338,1.0626
NW01,MAT-100662,RM-COIL-SS304,6.846,1.0332
NW01,MAT-100662,RM-COIL-HC276,6.809,1.0462
NW01,MAT-100674,RM-COIL-TI,6.429,1.0711
NW01,MAT-100674,RM-COIL-HC276,8.89,1.0424
NW01,MAT-100675,RM-COIL-NI,7.141,1.0301
NW01,MAT-100676,RM-COIL-SS316,13.481,1.0619
NW01,MAT-100677,RM-COIL-HC276,16.065,1.0627
NW01,MAT-100681,RM-COIL-NI,6.938,1.0392
NW01,MAT-100683,RM-COIL-HC276,12.396,1.0698
NW01,MAT-100687,RM-COIL-AL,4.405,1.0506
NW01,MAT-100691,RM-COIL-AL,7.222,1.069
NW01,MAT-100691,RM-COIL-SS304,9.216,1.0434
NW01,MAT-100695,RM-COIL-AL,10.233,1.0721
NW01,MAT-100700,RM-COIL-NI,9.994,1.0679
NW01,MAT-100701,RM-COIL-NI,13.412,1.0773
NW01,MAT-100708,RM-COIL-NI,5.83,1.0506
NW01,MAT-100708,RM-COIL-SS316,8.215,1.0599
NW01,MAT-100711,RM-COIL-TI,5.735,1.0393
NW01,MAT-100711,RM-COIL-HC276,8.32,1.0731
NW01,MAT-100717,RM-COIL-AL,5.895,1.064
NW01,MAT-100719,RM-COIL-SS304,12.634,1.0271
NW01,MAT-100722,RM-COIL-SS304,7.908,1.067
NW01,MAT-100723,RM-COIL-TI,5.234,1.0333
NW01,MAT-100723,RM-COIL-NI,5.556,1.064
NW01,MAT-100725,RM-COIL-HC276,14.731,1.0505
NW01,MAT-100726,RM-COIL-TI,8.217,1.0533
NW01,MAT-100726,RM-COIL-HC276,11.742,1.0577
NW01,MAT-100732,RM-COIL-TI,5.411,1.0383
NW01,MAT-100741,RM-COIL-NI,5.876,1.0302
NW01,MAT-100741,RM-COIL-HC276,9.158,1.0486
NW01,MAT-100753,RM-COIL-AL,4.407,1.0567
NW01,MAT-100753,RM-COIL-SS304,7.66,1.064
NW01,MAT-100754,RM-COIL-TI,6.087,1.0272
NW01,MAT-100761,RM-COIL-SS304,14.705,1.0876
NW01,MAT-100761,RM-COIL-HC276,14.913,1.0352
NW01,MAT-100762,RM-COIL-SS304,9.852,1.0434
NW01,MAT-100765,RM-COIL-TI,4.861,1.0251
NW01,MAT-100765,RM-COIL-HC276,8.224,1.069
NW01,MAT-100780,RM-COIL-HC276,7.709,1.0282
NW01,MAT-100785,RM-COIL-TI,8.376,1.0578
NW01,MAT-100785,RM-COIL-AL,9.912,1.0711
NW01,MAT-100789,RM-COIL-HC276,7.664,1.0404
NW01,MAT-100791,RM-COIL-SS304,13.638,1.0731
NW01,MAT-100792,RM-COIL-SS304,7.662,1.0536
NW01,MAT-100792,RM-COIL-AL,4.124,1.0292
NW01,MAT-100793,RM-COIL-HC276,7.941,1.0506
NW01,MAT-100804,RM-COIL-TI,5.837,1.0557
NW01,MAT-100804,RM-COIL-AL,4.791,1.0616
NW01,MAT-100808,RM-COIL-NI,10.113,1.07
NW01,MAT-100810,RM-COIL-AL,5.839,1.0312
NW01,MAT-100811,RM-COIL-HC276,10.713,1.0633
NW01,MAT-100811,RM-COIL-SS304,8.344,1.0657
NW01,MAT-100817,RM-COIL-NI,6.624,1.0675
NW01,MAT-100818,RM-COIL-SS316,6.321,1.0505
NW01,MAT-100820,RM-COIL-SS316,14.805,1.0392
NW01,MAT-100822,RM-COIL-SS316,8.791,1.0558
NW01,MAT-100824,RM-COIL-HC276,8.839,1.0617
NW01,MAT-100824,RM-COIL-TI,5.09,1.0722
NW01,MAT-100839,RM-COIL-AL,9.576,1.0669
NW01,MAT-100841,RM-COIL-TI,5.1,1.0343
NW01,MAT-100845,RM-COIL-SS316,14.803,1.0343
NW01,MAT-100846,RM-COIL-NI,7.938,1.0547
NW01,MAT-100853,RM-COIL-SS316,6.543,1.0412
NW01,MAT-100856,RM-COIL-AL,10.182,1.0516
NW01,MAT-100862,RM-COIL-AL,5.537,1.0414
NW01,MAT-100863,RM-COIL-SS304,12.264,1.0393
NW01,MAT-100875,RM-COIL-HC276,14.73,1.067
NW01,MAT-100878,RM-COIL-TI,5.367,1.0516
NW01,MAT-100881,RM-COIL-HC276,17.658,1.0648
NW01,MAT-100887,RM-COIL-NI,9.641,1.0414
NW01,MAT-100887,RM-COIL-SS316,14.345,1.0282
NW01,MAT-100890,RM-COIL-NI,7.147,1.0252
NW01,MAT-100895,RM-COIL-TI,7.729,1.0781
NW01,MAT-100903,RM-COIL-HC276,7.28,1.0696
NW01,MAT-100903,RM-COIL-SS304,7.643,1.0566
NW01,MAT-100908,RM-COIL-SS316,6.423,1.0686
NW01,MAT-100908,RM-COIL-SS304,6.157,1.0845
NW01,MAT-100909,RM-COIL-HC276,7.405,1.0695
NW01,MAT-100913,RM-COIL-SS316,6.53,1.0635
NW01,MAT-100915,RM-COIL-HC276,8.364,1.0404
NW01,MAT-100916,RM-COIL-AL,8.455,1.0404
NW01,MAT-100926,RM-COIL-TI,6.255,1.0352
NW01,MAT-100932,RM-COIL-NI,5.255,1.0231
NW01,MAT-100932,RM-COIL-HC276,7.014,1.0866
NW01,MAT-100943,RM-COIL-TI,6.171,1.0568
NW01,MAT-100949,RM-COIL-TI,5.454,1.0454
NW01,MAT-100954,RM-COIL-SS304,10.228,1.0373
NW01,MAT-100956,RM-COIL-NI,5.92,1.0262
NW01,MAT-100958,RM-COIL-AL,4.479,1.0455
NW01,MAT-100960,RM-COIL-TI,6.487,1.0812
NW01,MAT-100963,RM-COIL-SS316,8.69,1.0261
NW01,MAT-100964,RM-COIL-NI,12.347,1.0633
NW01,MAT-100965,RM-COIL-SS304,12.205,1.0455
NW01,MAT-100967,RM-COIL-HC276,10.964,1.0322
NW01,MAT-100970,RM-COIL-SS304,6.307,1.0732
NW01,MAT-100971,RM-COIL-TI,8.665,1.0566
NW01,MAT-100971,RM-COIL-SS304,12.814,1.0833
NW01,MAT-100977,RM-COIL-NI,10.341,1.0292
NW01,MAT-100980,RM-COIL-AL,5.024,1.0372
NW01,MAT-100984,RM-COIL-NI,5.896,1.0272
NW01,MAT-100989,RM-COIL-AL,8.987,1.0221
NW01,MAT-100993,RM-COIL-SS316,8.21,1.0655
NW01,MAT-100998,RM-COIL-SS304,6.786,1.0771
NW01,MAT-101001,RM-COIL-NI,10.65,1.0414
NW01,MAT-101002,RM-COIL-HC276,11.902,1.0373
NW01,MAT-101002,RM-COIL-SS316,10.473,1.0362
NW01,MAT-101009,RM-COIL-SS304,7.401,1.0302
NW01,MAT-101009,RM-COIL-SS316,7.259,1.0825
NW01,MAT-101010,RM-COIL-AL,5.203,1.0544
NW01,MAT-101010,RM-COIL-SS304,6.829,1.0666
NW01,MAT-101012,RM-COIL-AL,8.0,1.0619
NW01,MAT-101017,RM-COIL-AL,5.624,1.0596
NW01,MAT-101017,RM-COIL-SS316,8.446,1.0619
NW01,MAT-101020,RM-COIL-AL,5.455,1.0711
NW01,MAT-101021,RM-COIL-SS316,7.366,1.0594
NW01,MAT-101022,RM-COIL-TI,6.227,1.0516
NW01,MAT-101022,RM-COIL-SS304,7.699,1.0624
NW01,MAT-101023,RM-COIL-TI,5.492,1.0697
NW01,MAT-101027,RM-COIL-SS316,8.995,1.0343
NW01,MAT-101032,RM-COIL-SS316,8.183,1.0709
NW01,MAT-101045,RM-COIL-HC276,9.985,1.0708
NW01,MAT-101058,RM-COIL-AL,5.924,1.0644
NW01,MAT-101067,RM-COIL-TI,11.84,1.0599
NW01,MAT-101070,RM-COIL-SS304,5.624,1.0462
NW01,MAT-101073,RM-COIL-AL,8.699,1.0644
NW01,MAT-101080,RM-COIL-TI,4.535,1.0191
NW01,MAT-101080,RM-COIL-NI,6.232,1.0588
NW01,MAT-101084,RM-COIL-NI,13.703,1.067
NW01,MAT-101084,RM-COIL-TI,8.791,1.0567
NW01,MAT-101089,RM-COIL-AL,5.659,1.0404
NW01,MAT-101092,RM-COIL-TI,4.836,1.0496
NW01,MAT-101092,RM-COIL-SS304,5.68,1.0496
NW01,MAT-101095,RM-COIL-SS304,5.863,1.0537
NW01,MAT-101097,RM-COIL-HC276,16.838,1.0281
NW01,MAT-101097,RM-COIL-TI,9.678,1.0665
NW01,MAT-101101,RM-COIL-AL,4.886,1.0567
NW01,MAT-101104,RM-COIL-SS316,7.757,1.0679
NW01,MAT-101105,RM-COIL-NI,6.532,1.0332
NW01,MAT-101105,RM-COIL-SS304,6.361,1.0573
NW01,MAT-101111,RM-COIL-AL,5.369,1.0323
NW01,MAT-101113,RM-COIL-HC276,8.016,1.0252
NW01,MAT-101115,RM-COIL-SS316,14.671,1.0231
NW01,MAT-101115,RM-COIL-TI,8.627,1.0699
NW01,MAT-101120,RM-COIL-AL,9.07,1.0486
NW01,MAT-101131,RM-COIL-SS316,8.756,1.0556
NW01,MAT-101134,RM-COIL-AL,7.229,1.0637
NW01,MAT-101142,RM-COIL-SS304,7.276,1.0588
NW01,MAT-101144,RM-COIL-HC276,13.205,1.0628
NW01,MAT-101144,RM-COIL-NI,9.671,1.0373
NW01,MAT-101149,RM-COIL-SS316,7.048,1.0181
NW01,MAT-101150,RM-COIL-NI,5.505,1.0805
NW01,MAT-101150,RM-COIL-HC276,9.052,1.0414
NW01,MAT-101159,RM-COIL-AL,6.987,1.0709
NW01,MAT-101161,RM-COIL-SS316,8.084,1.0609
NW01,MAT-101161,RM-COIL-SS304,5.902,1.0712
NW01,MAT-101167,RM-COIL-TI,6.275,1.0666
NW01,MAT-101168,RM-COIL-NI,10.903,1.0393
NW01,MAT-101173,RM-COIL-SS316,7.301,1.0372
NW01,MAT-101175,RM-COIL-SS316,11.52,1.0639
NW01,MAT-101177,RM-COIL-TI,5.356,1.0697
NW01,MAT-101177,RM-COIL-SS304,7.355,1.0844
NW01,MAT-101191,RM-COIL-SS316,8.489,1.0605
NW01,MAT-101195,RM-COIL-AL,6.738,1.0599
NW01,MAT-101196,RM-COIL-TI,5.056,1.0668
NW01,MAT-101198,RM-COIL-TI,4.804,1.0373
NW01,MAT-101206,RM-COIL-HC276,9.228,1.0483
NW01,MAT-101206,RM-COIL-SS316,9.508,1.0342
NW01,MAT-101210,RM-COIL-NI,6.219,1.0791
NW01,MAT-101211,RM-COIL-TI,8.816,1.069
NW01,MAT-101219,RM-COIL-AL,6.729,1.0473
NW01,MAT-101224,RM-COIL-SS316,8.53,1.0537
NW01,MAT-101234,RM-COIL-TI,5.154,1.0594
NW01,MAT-101239,RM-COIL-SS316,6.57,1.0302
NW01,MAT-101245,RM-COIL-SS304,5.843,1.0403
NW01,MAT-101245,RM-COIL-SS316,8.67,1.065
NW01,MAT-101248,RM-COIL-NI,7.624,1.0836
NW01,MAT-101252,RM-COIL-HC276,15.366,1.0772
NW01,MAT-101252,RM-COIL-SS316,14.727,1.0577
NW01,MAT-101264,RM-COIL-HC276,14.801,1.0751
NW01,MAT-101267,RM-COIL-NI,7.236,1.0645
NW01,MAT-101270,RM-COIL-SS316,6.68,1.0738
NW01,MAT-101274,RM-COIL-SS304,6.017,1.0729
NW01,MAT-101278,RM-COIL-TI,6.652,1.0312
NW01,MAT-101278,RM-COIL-SS316,10.251,1.0404
NW01,MAT-101280,RM-COIL-TI,6.386,1.0701
NW01,MAT-101280,RM-COIL-SS316,7.068,1.0435
NW01,MAT-101303,RM-COIL-AL,7.408,1.0781
NW01,MAT-101312,RM-COIL-AL,8.547,1.0628
NW01,MAT-101314,RM-COIL-HC276,9.047,1.0241
NW01,MAT-101316,RM-COIL-AL,5.379,1.0342
NW01,MAT-101317,RM-COIL-NI,5.361,1.0312
NW01,MAT-101318,RM-COIL-AL,5.872,1.0633
NW01,MAT-101321,RM-COIL-TI,6.761,1.065
NW01,MAT-101321,RM-COIL-SS304,6.593,1.0292
NW01,MAT-101334,RM-COIL-SS304,5.695,1.0486
NW01,MAT-101334,RM-COIL-HC276,9.729,1.0702
NW01,MAT-101337,RM-COIL-SS304,12.362,1.0556
NW01,MAT-101342,RM-COIL-SS316,8.608,1.0373
NW01,MAT-101346,RM-COIL-HC276,7.12,1.0513
NW01,MAT-101347,RM-COIL-SS304,6.353,1.0475
NW01,MAT-101348,RM-COIL-SS304,14.551,1.0699
NW01,MAT-101350,RM-COIL-HC276,10.55,1.0649
NW01,MAT-101352,RM-COIL-NI,5.723,1.0443
NW01,MAT-101354,RM-COIL-AL,5.334,1.0718
NW01,MAT-101358,RM-COIL-TI,5.877,1.0728
NW01,MAT-101360,RM-COIL-AL,7.299,1.0231
NW01,MAT-101373,RM-COIL-AL,9.859,1.0403
NW01,MAT-101374,RM-COIL-HC276,9.686,1.0696
NW01,MAT-101375,RM-COIL-HC276,11.265,1.0759
NW01,MAT-101377,RM-COIL-TI,5.797,1.0835
NW01,MAT-101382,RM-COIL-HC276,8.633,1.0475
NW01,MAT-101382,RM-COIL-TI,5.661,1.0261
NW01,MAT-101384,RM-COIL-AL,7.898,1.063
NW01,MAT-101391,RM-COIL-SS316,14.423,1.0343
NW01,MAT-101393,RM-COIL-SS304,5.965,1.0343
NW01,MAT-101414,RM-COIL-HC276,7.494,1.063
NW01,MAT-101419,RM-COIL-SS316,6.38,1.0462
NW01,MAT-101419,RM-COIL-AL,5.165,1.074
NW01,MAT-101420,RM-COIL-AL,9.359,1.0608
NW01,MAT-101421,RM-COIL-SS316,11.965,1.064
NW01,MAT-101423,RM-COIL-HC276,9.644,1.0656
NW01,MAT-101431,RM-COIL-AL,4.782,1.0627
NW01,MAT-101432,RM-COIL-AL,10.028,1.0474
NW01,MAT-101434,RM-COIL-NI,7.595,1.0597
NW01,MAT-101435,RM-COIL-AL,6.201,1.0221
NW01,MAT-101436,RM-COIL-NI,7.405,1.0512
NW01,MAT-101436,RM-COIL-SS304,8.184,1.0691
NW01,MAT-101437,RM-COIL-TI,5.498,1.0556
NW01,MAT-101439,RM-COIL-TI,9.992,1.0616
NW01,MAT-101439,RM-COIL-HC276,15.042,1.0752
NW01,MAT-101442,RM-COIL-TI,5.847,1.0445
NW01,MAT-101444,RM-COIL-NI,13.373,1.0363
NW01,MAT-101446,RM-COIL-TI,7.561,1.0555
NW01,MAT-101448,RM-COIL-SS316,7.049,1.0463
NW01,MAT-101450,RM-COIL-SS304,7.652,1.0741
NW01,MAT-101456,RM-COIL-SS316,14.906,1.0701
NW01,MAT-101456,RM-COIL-SS304,10.41,1.0302
NW01,MAT-101458,RM-COIL-AL,8.053,1.0763
NW01,MAT-101459,RM-COIL-HC276,9.603,1.0272
NW01,MAT-101459,RM-COIL-SS304,9.396,1.0292
NW01,MAT-101465,RM-COIL-AL,5.314,1.0772
NW01,MAT-101469,RM-COIL-SS304,10.927,1.0373
NW01,MAT-101482,RM-COIL-SS304,9.633,1.0435
NW01,MAT-101487,RM-COIL-TI,8.141,1.0382
NW01,MAT-101488,RM-COIL-HC276,9.645,1.0547
NW01,MAT-101492,RM-COIL-SS316,13.574,1.0618
NW01,MAT-101494,RM-COIL-AL,7.265,1.0588
NW01,MAT-101499,RM-COIL-HC276,15.259,1.0462
NW01,MAT-200001,RM-COMP-HNBR,0.464,1.0739
NW01,MAT-200005,RM-COMP-HNBR,0.428,1.0403
NW01,MAT-200012,RM-COMP-AFLAS,0.579,1.077
NW01,MAT-200015,RM-COMP-AFLAS,0.412,1.0414
NW01,MAT-200015,RM-COMP-NBR,0.331,1.0506
NW01,MAT-200022,RM-COMP-HNBR,0.416,1.0434
NW01,MAT-200029,RM-COMP-FKM,0.407,1.0607
NW01,MAT-200055,RM-COMP-NBR,0.42,1.0404
NW01,MAT-200061,RM-COMP-SILI,0.272,1.0394
NW01,MAT-200072,RM-COMP-SILI,0.336,1.0729
NW01,MAT-200072,RM-COMP-NBR,0.386,1.0578
NW01,MAT-200074,RM-COMP-EPDM,0.322,1.0475
NW01,MAT-200084,RM-COMP-AFLAS,0.487,1.0616
NW01,MAT-200084,RM-COMP-EPDM,0.306,1.0484
NW01,MAT-200089,RM-COMP-FKM,0.386,1.0608
NW01,MAT-200089,RM-COMP-AFLAS,0.543,1.0568
NW01,MAT-200090,RM-COMP-EPDM,0.327,1.0516
