plant,material,stock_qty,atp_qty,in_transit_qty,safety_stock_qty,inventory_snapshot_date
NW01,MAT-100264,2948,1938,863,485,2026.04.03
NW01,MAT-100269,11396,6271,2114,595,2026.04.03
NW01,MAT-100270,9306,5088,1775,455,2026.04.03
NW01,MAT-100273,8717,4863,606,742,2026.04.03
NW01,MAT-100277,1544,1049,3348,789,2026.04.03
NW01,MAT-100282,10426,6890,562,460,2026.04.03
NW01,MAT-100283,5958,4724,561,57,2026.04.03
NW01,MAT-100284,8634,6737,219,961,2026.04.03
NW01,MAT-100286,5656,4671,1523,1117,2026.04.03
NW01,MAT-100287,11079,8914,1327,131,2026.04.03
NW01,MAT-100290,11749,7501,1031,1172,2026.04.03
NW01,MAT-100294,3391,1836,477,470,2026.04.03
NW01,MAT-100299,9848,5628,1530,679,2026.04.03
NW01,MAT-100301,9645,7882,3049,291,2026.04.03
NW01,MAT-100305,3350,2049,2889,231,2026.04.03
NW01,MAT-100311,6427,5614,1054,605,2026.04.03
NW01,MAT-100315,6380,3360,2874,480,2026.04.03
NW01,MAT-100317,6113,4258,1013,746,2026.04.03
NW01,MAT-100325,11153,5596,976,978,2026.04.03
NW01,MAT-100329,9762,6339,861,719,2026.04.03
NW01,MAT-100337,1668,837,2069,326,2026.04.03
NW01,MAT-100339,4866,4442,1586,229,2026.04.03
NW01,MAT-100343,3716,3206,2793,893,2026.04.03
NW01,MAT-100345,5942,4142,3417,531,2026.04.03
NW01,MAT-100350,6491,3259,230,535,2026.04.03
NW01,MAT-100353,8468,4460,2830,437,2026.04.03
NW01,MAT-100359,5862,4223,1476,87,2026.04.03
NW01,MAT-100360,2866,1590,510,553,2026.04.03
NW01,MAT-100367,2541,1603,92,173,2026.04.03
NW01,MAT-100370,1520,1195,673,115,2026.04.03
NW01,MAT-100374,9219,6125,487,306,2026.04.03
NW01,MAT-100380,5623,4732,2687,379,2026.04.03
NW01,MAT-100395,7516,6802,2131,922,2026.04.03
NW01,MAT-100398,3872,3544,1839,81,2026.04.03
NW01,MAT-100416,2691,1525,2631,780,2026.04.03
NW01,MAT-100420,11010,8763,2211,948,2026.04.03
NW01,MAT-100422,9626,8209,3127,99,2026.04.03
NW01,MAT-100436,9427,8171,2651,1126,2026.04.03
NW01,MAT-100440,7494,4288,2228,195,2026.04.03
NW01,MAT-100444,9978,5831,952,1099,2026.04.03
NW01,MAT-100447,595,335,3086,263,2026.04.03
NW01,MAT-100449,1918,1675,1439,828,2026.04.03
NW01,MAT-100454,11531,10209,358,106,2026.04.03
NW01,MAT-100461,10513,8737,79,474,2026.04.03
NW01,MAT-100463,3740,3370,745,1158,2026.04.03
NW01,MAT-100464,8545,6172,1437,779,2026.04.03
NW01,MAT-100468,10220,8686,723,570,2026.04.03
NW01,MAT-100472,1743,1200,1170,831,2026.04.03
NW01,MAT-100473,4154,2326,3370,492,2026.04.03
NW01,MAT-100477,9533,7224,1331,815,2026.04.03
NW01,MAT-100479,5113,4520,460,1028,2026.04.03
NW01,MAT-100482,425,362,2190,60,2026.04.03
NW01,MAT-100492,1927,1109,1954,868,2026.04.03
NW01,MAT-100496,4575,4002,2724,466,2026.04.03
NW01,MAT-100500,1893,1482,2872,722,2026.04.03
NW01,MAT-100509,5889,3235,2910,589,2026.04.03
NW01,MAT-100513,11326,8431,105,1154,2026.04.03
NW01,MAT-100514,3748,2592,798,654,2026.04.03
NW01,MAT-100516,8497,5395,2465,975,2026.04.03
NW01,MAT-100518,619,554,2272,773,2026.04.03
NW01,MAT-100519,5876,5373,1577,791,2026.04.03
NW01,MAT-100520,6279,4625,2823,795,2026.04.03
NW01,MAT-100525,11863,7990,3087,639,2026.04.03
NW01,MAT-100528,2214,1880,1929,1162,2026.04.03
NW01,MAT-100529,10420,5386,1950,499,2026.04.03
NW01,MAT-100538,3030,1843,2415,925,2026.04.03
NW01,MAT-100539,2360,1771,607,946,2026.04.03
NW01,MAT-100540,8286,5901,3074,1127,2026.04.03
NW01,MAT-100547,11826,10878,880,1155,2026.04.03
NW01,MAT-100552,4082,2680,1015,787,2026.04.03
NW01,MAT-100556,11391,9313,3008,452,2026.04.03
NW01,MAT-100557,6262,4368,3173,861,2026.04.03
NW01,MAT-100558,11211,8995,953,463,2026.04.03
NW01,MAT-100561,11813,6174,2645,421,2026.04.03
NW01,MAT-100566,2066,1136,2734,1016,2026.04.03
NW01,MAT-100580,4772,2660,567,650,2026.04.03
NW01,MAT-100583,11063,7030,3,446,2026.04.03
NW01,MAT-100584,5921,3118,1171,416,2026.04.03
NW01,MAT-100587,364,241,2927,1085,2026.04.03
NW01,MAT-100592,10958,6595,1077,1173,2026.04.03
NW01,MAT-100593,8992,8203,1198,1189,2026.04.03
NW01,MAT-100596,10654,5581,1021,1115,2026.04.03
NW01,MAT-100600,5248,4538,2446,611,2026.04.03
NW01,MAT-100604,7039,5397,2011,976,2026.04.03
NW01,MAT-100605,7440,6033,333,125,2026.04.03
NW01,MAT-100608,2370,1604,3102,1040,2026.04.03
NW01,MAT-100610,2961,2324,1618,179,2026.04.03
NW01,MAT-100618,1405,791,2449,684,2026.04.03
NW01,MAT-100621,2673,1803,2816,542,2026.04.03
NW01,MAT-100623,3451,3249,3137,715,2026.04.03
NW01,MAT-100625,3500,1783,2051,587,2026.04.03
NW01,MAT-100629,8468,7020,2471,581,2026.04.03
NW01,MAT-100633,5671,5104,2141,638,2026.04.03
NW01,MAT-100643,8907,4514,588,346,2026.04.03
NW01,MAT-100644,4244,3199,1981,1172,2026.04.03
NW01,MAT-100646,7485,4474,1499,747,2026.04.03
NW01,MAT-100647,6423,3600,845,398,2026.04.03
NW01,MAT-100651,7421,3748,1862,1155,2026.04.03
NW01,MAT-100654,3527,3310,1625,855,2026.04.03
NW01,MAT-100657,11323,6941,1945,362,2026.04.03
NW01,MAT-100662,6676,5761,2982,687,2026.04.03
NW01,MAT-100674,5888,4460,590,116,2026.04.03
NW01,MAT-100675,2517,2084,1867,933,2026.04.03
NW01,MAT-100676,732,539,435,472,2026.04.03
NW01,MAT-100677,8900,8268,851,591,2026.04.03
NW01,MAT-100681,9581,7819,524,202,2026.04.03
NW01,MAT-100683,9334,6564,1704,88,2026.04.03
NW01,MAT-100687,3146,2977,3114,252,2026.04.03
NW01,MAT-100691,248,135,587,560,2026.04.03
NW01,MAT-100695,6886,5546,625,911,2026.04.03
NW01,MAT-100700,11476,6040,212,920,2026.04.03
NW01,MAT-100701,9267,8640,1927,159,2026.04.03
NW01,MAT-100708,2356,2220,2566,496,2026.04.03
NW01,MAT-100711,11218,10578,1826,1127,2026.04.03
NW01,MAT-100717,4529,3250,276,475,2026.04.03
NW01,MAT-100719,1896,1245,1928,684,2026.04.03
NW01,MAT-100722,4511,3739,686,509,2026.04.03
NW01,MAT-100723,4704,3622,365,506,2026.04.03
NW01,MAT-100725,8789,6838,1611,474,2026.04.03
NW01,MAT-100726,2161,1683,76,373,2026.04.03
NW01,MAT-100732,11778,9479,729,888,2026.04.03
NW01,MAT-100741,5413,5101,692,1088,2026.04.03
NW01,MAT-100753,3869,3460,701,822,2026.04.03
NW01,MAT-100754,8785,6336,2202,653,2026.04.03
NW01,MAT-100761,7852,4639,2220,979,2026.04.03
NW01,MAT-100762,10664,5964,2245,386,2026.04.03
NW01,MAT-100765,8946,5474,1207,390,2026.04.03
NW01,MAT-100780,6091,3392,2854,876,2026.04.03
NW01,MAT-100785,1144,983,1485,691,2026.04.03
NW01,MAT-100789,8553,7555,2122,977,2026.04.03
NW01,MAT-100791,7472,5286,337,433,2026.04.03
NW01,MAT-100792,11600,10216,2166,1152,2026.04.03
NW01,MAT-100793,4592,3058,101,657,2026.04.03
NW01,MAT-100804,8534,7187,40,737,2026.04.03
NW01,MAT-100808,10371,9818,1781,997,2026.04.03
NW01,MAT-100810,6746,3711,3443,401,2026.04.03
NW01,MAT-100811,7929,5591,3057,612,2026.04.03
NW01,MAT-100817,7087,6600,2841,236,2026.04.03
NW01,MAT-100818,6350,4810,2291,405,2026.04.03
NW01,MAT-100820,5290,4474,2383,728,2026.04.03
NW01,MAT-100822,8991,5812,1364,864,2026.04.03
NW01,MAT-100824,6832,3606,715,348,2026.04.03
NW01,MAT-100839,3669,3077,1463,1074,2026.04.03
NW01,MAT-100841,11575,6350,1997,623,2026.04.03
NW01,MAT-100845,7324,3960,1046,775,2026.04.03
NW01,MAT-100846,8504,7519,205,388,2026.04.03
NW01,MAT-100853,2595,1382,728,329,2026.04.03
NW01,MAT-100856,3066,2393,514,374,2026.04.03
NW01,MAT-100862,10086,7748,1665,1049,2026.04.03
NW01,MAT-100863,7442,6537,2164,683,2026.04.03
NW01,MAT-100875,3442,2716,2953,901,2026.04.03
NW01,MAT-100878,2244,1276,2913,228,2026.04.03
NW01,MAT-100881,5366,2718,2536,1149,2026.04.03
NW01,MAT-100887,8473,5031,3488,1083,2026.04.03
NW01,MAT-100890,5575,3092,2675,1171,2026.04.03
NW01,MAT-100895,5821,4854,3440,558,2026.04.03
NW01,MAT-100903,10797,7829,772,917,2026.04.03
NW01,MAT-100908,6848,6214,2322,676,2026.04.03
NW01,MAT-100909,4668,3909,1907,902,2026.04.03
NW01,MAT-100913,11256,10227,1231,111,2026.04.03
NW01,MAT-100915,4856,3895,3,60,2026.04.03
NW01,MAT-100916,3477,1876,571,719,2026.04.03
NW01,MAT-100926,2825,2189,3206,665,2026.04.03
NW01,MAT-100932,6218,5359,535,674,2026.04.03
NW01,MAT-100943,6465,5130,1089,864,2026.04.03
NW01,MAT-100949,1336,1217,2765,1163,2026.04.03
NW01,MAT-100954,8339,6786,3058,442,2026.04.03
NW01,MAT-100956,4237,2702,1069,106,2026.04.03
NW01,MAT-100958,569,476,2366,479,2026.04.03
NW01,MAT-100960,6469,5962,2438,841,2026.04.03
NW01,MAT-100963,9888,8156,3269,801,2026.04.03
NW01,MAT-100964,1951,1574,3199,434,2026.04.03
NW01,MAT-100965,7081,6404,2630,1072,2026.04.03
NW01,MAT-100967,6293,5926,1312,593,2026.04.03
NW01,MAT-100970,8862,6856,3430,806,2026.04.03
NW01,MAT-100971,5122,4252,21,823,2026.04.03
NW01,MAT-100977,2190,1170,3255,456,2026.04.03
NW01,MAT-100980,10536,7280,3399,246,2026.04.03
NW01,MAT-100984,225,116,1246,1104,2026.04.03
NW01,MAT-100989,1285,1055,2142,754,2026.04.03
NW01,MAT-100993,10010,8914,17,202,2026.04.03
NW01,MAT-100998,2178,1822,909,973,2026.04.03
NW01,MAT-101001,11388,7188,3083,841,2026.04.03
NW01,MAT-101002,1501,1282,2358,218,2026.04.03
NW01,MAT-101009,4438,3240,593,201,2026.04.03
NW01,MAT-101010,7236,4832,966,991,2026.04.03
NW01,MAT-101012,2625,2446,1099,1181,2026.04.03
NW01,MAT-101017,5356,4790,2936,232,2026.04.03
NW01,MAT-101020,7255,3907,2776,655,2026.04.03
NW01,MAT-101021,11429,9940,1135,509,2026.04.03
NW01,MAT-101022,4430,2663,2234,1136,2026.04.03
NW01,MAT-101023,8239,7033,2469,91,2026.04.03
NW01,MAT-101027,5615,3111,2836,572,2026.04.03
NW01,MAT-101032,1124,928,1077,1119,2026.04.03
NW01,MAT-101045,8532,5919,1771,202,2026.04.03
NW01,MAT-101058,9235,4713,3239,386,2026.04.03
NW01,MAT-101067,5889,3127,5,639,2026.04.03
NW01,MAT-101070,9907,6804,1866,273,2026.04.03
NW01,MAT-101073,1691,1041,1950,698,2026.04.03
NW01,MAT-101080,9761,8363,3023,80,2026.04.03
NW01,MAT-101084,768,621,3324,826,2026.04.03
NW01,MAT-101089,4709,3398,2525,167,2026.04.03
NW01,MAT-101092,2087,1135,2854,639,2026.04.03
NW01,MAT-101095,9156,6652,891,276,2026.04.03
NW01,MAT-101097,10569,6422,1086,998,2026.04.03
NW01,MAT-101101,4751,3765,829,1099,2026.04.03
NW01,MAT-101104,9948,5796,3222,1123,2026.04.03
NW01,MAT-101105,1315,1237,1867,768,2026.04.03
NW01,MAT-101111,6023,5068,1593,184,2026.04.03
NW01,MAT-101113,10845,7132,948,515,2026.04.03
NW01,MAT-101115,8990,7249,1713,754,2026.04.03
NW01,MAT-101120,5181,3425,2556,90,2026.04.03
NW01,MAT-101131,9383,4857,3312,707,2026.04.03
NW01,MAT-101134,7758,4787,1501,984,2026.04.03
NW01,MAT-101142,7683,6834,1898,1081,2026.04.03
NW01,MAT-101144,11940,6256,875,313,2026.04.03
NW01,MAT-101149,6479,6004,2719,401,2026.04.03
NW01,MAT-101150,10367,5430,853,393,2026.04.03
NW01,MAT-101159,10268,8634,2935,56,2026.04.03
NW01,MAT-101161,8874,5889,670,1015,2026.04.03
NW01,MAT-101167,613,342,1555,254,2026.04.03
NW01,MAT-101168,4008,2694,353,1109,2026.04.03
NW01,MAT-101173,7307,6917,3398,111,2026.04.03
NW01,MAT-101175,2977,2552,2223,120,2026.04.03
NW01,MAT-101177,5868,2970,609,995,2026.04.03
NW01,MAT-101191,555,365,2649,725,2026.04.03
NW01,MAT-101195,1199,840,1084,455,2026.04.03
NW01,MAT-101196,7864,5270,812,1144,2026.04.03
NW01,MAT-101198,9855,6395,1566,881,2026.04.03
NW01,MAT-101206,7553,4671,55,211,2026.04.03
NW01,MAT-101210,1899,1619,1425,237,2026.04.03
NW01,MAT-101211,6106,5453,2272,582,2026.04.03
NW01,MAT-101219,8029,4570,3493,912,2026.04.03
NW01,MAT-101224,10682,10082,1138,559,2026.04.03
NW01,MAT-101234,1403,1080,2371,677,2026.04.03
NW01,MAT-101239,6395,5407,513,656,2026.04.03
NW01,MAT-101245,9967,5975,403,140,2026.04.03
NW01,MAT-101248,8239,4833,3220,471,2026.04.03
NW01,MAT-101252,410,277,50,654,2026.04.03
NW01,MAT-101264,4318,3409,3011,606,2026.04.03
NW01,MAT-101267,1718,1417,1045,865,2026.04.03
NW01,MAT-101270,342,291,3389,56,2026.04.03
NW01,MAT-101274,10727,7175,515,1044,2026.04.03
NW01,MAT-101278,3167,2244,2113,1007,2026.04.03
NW01,MAT-101280,4878,2451,919,580,2026.04.03
NW01,MAT-101303,7050,4307,398,981,2026.04.03
NW01,MAT-101312,9967,6086,1993,807,2026.04.03
NW01,MAT-101314,9510,5864,833,896,2026.04.03
NW01,MAT-101316,8278,4855,2541,484,2026.04.03
NW01,MAT-101317,8706,4428,2618,177,2026.04.03
NW01,MAT-101318,5423,4147,2819,447,2026.04.03
NW01,MAT-101321,8915,5636,2921,1196,2026.04.03
NW01,MAT-101334,427,390,311,647,2026.04.03
NW01,MAT-101337,9341,8329,2075,54,2026.04.03
NW01,MAT-101342,9217,7757,579,491,2026.04.03
NW01,MAT-101346,2514,2326,1145,705,2026.04.03
NW01,MAT-101347,1125,733,1918,109,2026.04.03
NW01,MAT-101348,4377,2956,3225,1181,2026.04.03
NW01,MAT-101350,5159,3171,911,703,2026.04.03
NW01,MAT-101352,5995,3858,848,387,2026.04.03
NW01,MAT-101354,10928,7244,446,197,2026.04.03
NW01,MAT-101358,2492,2225,113,549,2026.04.03
NW01,MAT-101360,1177,700,2807,973,2026.04.03
NW01,MAT-101373,1644,861,2199,407,2026.04.03
NW01,MAT-101374,3273,2726,371,374,2026.04.03
NW01,MAT-101375,10066,5760,2719,494,2026.04.03
NW01,MAT-101377,3494,2109,2696,345,2026.04.03
NW01,MAT-101382,11153,5971,3477,484,2026.04.03
NW01,MAT-101384,11212,6675,3166,372,2026.04.03
NW01,MAT-101391,11059,9704,1731,839,2026.04.03
NW01,MAT-101393,5828,3667,26,289,2026.04.03
NW01,MAT-101414,4499,3668,856,178,2026.04.03
NW01,MAT-101419,8061,6265,2689,367,2026.04.03
NW01,MAT-101420,788,570,2927,975,2026.04.03
NW01,MAT-101421,6187,4217,2103,990,2026.04.03
NW01,MAT-101423,6883,3592,3449,1130,2026.04.03
NW01,MAT-101431,4172,3298,3183,1033,2026.04.03
NW01,MAT-101432,1114,1009,1015,878,2026.04.03
NW01,MAT-101434,2763,1488,3340,289,2026.04.03
NW01,MAT-101435,10555,8681,3172,251,2026.04.03
NW01,MAT-101436,6144,3114,3160,850,2026.04.03
NW01,MAT-101437,2561,1521,714,130,2026.04.03
NW01,MAT-101439,1980,1480,886,918,2026.04.03
NW01,MAT-101442,6358,3218,1624,1165,2026.04.03
NW01,MAT-101444,4383,2445,1360,510,2026.04.03
NW01,MAT-101446,3158,2574,2881,570,2026.04.03
NW01,MAT-101448,4752,3797,1323,260,2026.04.03
NW01,MAT-101450,8062,6480,2339,1058,2026.04.03
NW01,MAT-101456,3849,2387,237,243,2026.04.03
NW01,MAT-101458,7435,6732,2767,884,2026.04.03
NW01,MAT-101459,11857,9839,2474,84,2026.04.03
NW01,MAT-101465,2164,1500,3149,1127,2026.04.03
NW01,MAT-101469,7300,5002,1170,715,2026.04.03
NW01,MAT-101482,6285,3731,1925,208,2026.04.03
NW01,MAT-101487,7804,4070,2084,1146,2026.04.03
NW01,MAT-101488,8216,6122,1034,558,2026.04.03
NW01,MAT-101492,8043,4847,69,1099,2026.04.03
NW01,MAT-101494,5556,4189,439,346,2026.04.03
NW01,MAT-101499,10728,6235,310,939,2026.04.03
NW01,MAT-200001,2490,1707,1646,1103,2026.04.03
NW01,MAT-200005,9359,8159,2306,52,2026.04.03
NW01,MAT-200012,8982,4524,3487,509,2026.04.03
NW01,MAT-200015,69,37,1207,397,2026.04.03
NW01,MAT-200022,11378,9841,2489,357,2026.04.03
NW01,MAT-200029,9767,7566,2969,1178,2026.04.03
NW01,MAT-200055,8831,4839,2705,227,2026.04.03
NW01,MAT-200061,6450,3470,1157,311,2026.04.03
NW01,MAT-200072,2014,1492,2603,71,2026.04.03
NW01,MAT-200074,3816,3202,112,944,2026.04.03
NW01,MAT-200084,6413,4728,3026,559,2026.04.03
NW01,MAT-200089,10536,8245,3227,142,2026.04.03
NW01,MAT-200090,10535,9684,1195,372,2026.04.03
NW01,MAT-200092,4663,3173,832,1170,2026.04.03
NW01,MAT-200097,602,313,2442,130,2026.04.03
NW01,MAT-200099,10548,5414,760,734,2026.04.03
NW01,MAT-200101,9332,7134,557,338,2026.04.03
NW01,MAT-200103,3027,2545,3465,571,2026.04.03
NW01,MAT-200106,11894,10477,2300,125,2026.04.03
NW01,MAT-200109,10230,6597,3192,526,2026.04.03
NW01,MAT-200110,4989,2573,1938,297,2026.04.03
NW01,MAT-200134,4580,2873,3065,210,2026.04.03
NW01,MAT-200136,5564,4114,2901,207,2026.04.03
NW01,MAT-200138,11161,6489,1623,750,2026.04.03
NW01,MAT-200148,9220,5727,180,236,2026.04.03
NW01,MAT-200149,8926,7812,2748,875,2026.04.03
NW01,MAT-200156,510,403,1514,994,2026.04.03
NW01,MAT-200161,1676,1552,3344,381,2026.04.03
NW01,MAT-200162,11909,7331,484,1060,2026.04.03
NW01,MAT-200167,429,237,1244,110,2026.04.03
NW01,MAT-200170,7688,7283,3175,83,2026.04.03
NW01,MAT-200174,11005,7434,3170,335,2026.04.03
NW01,MAT-200177,10095,7822,1216,1123,2026.04.03
NW01,MAT-200179,8653,7003,2794,764,2026.04.03
NW01,MAT-200180,2591,1935,1355,942,2026.04.03
NW01,MAT-200182,1484,993,632,507,2026.04.03
NW01,MAT-200186,4509,2837,1060,886,2026.04.03
NW01,MAT-200200,1844,1076,297,240,2026.04.03
NW01,MAT-200202,1850,1660,1474,294,2026.04.03
NW01,MAT-200203,3524,1829,382,627,2026.04.03
NW01,MAT-200209,3578,3305,424,253,2026.04.03
NW01,MAT-200220,1700,1274,1406,122,2026.04.03
NW01,MAT-200231,4816,4271,115,130,2026.04.03
NW01,MAT-200233,8799,6412,2800,596,2026.04.03
NW01,MAT-200234,5115,2732,3454,473,2026.04.03
NW01,MAT-200236,445,376,473,1100,2026.04.03
NW01,MAT-200239,4687,2376,3050,638,2026.04.03
NW01,MAT-200240,5058,3783,2514,864,2026.04.03
NW01,MAT-200246,4413,3559,1316,473,2026.04.03
NW01,MAT-200248,7399,5700,2112,744,2026.04.03
NW01,MAT-200250,5219,3662,2110,232,2026.04.03
NW01,MAT-200253,8456,7140,2067,1130,2026.04.03
NW01,MAT-200256,9871,7301,2652,851,2026.04.03
NW01,MAT-200258,10315,8868,2052,635,2026.04.03
NW01,MAT-200262,9249,8055,2104,780,2026.04.03
NW01,MAT-200267,11147,10227,2321,352,2026.04.03
NW01,MAT-200269,2529,2355,2685,329,2026.04.03
NW01,MAT-200283,6870,4333,653,438,2026.04.03
NW01,MAT-200290,9681,6312,3452,253,2026.04.03
NW01,MAT-200294,10815,9523,2473,370,2026.04.03
NW01,MAT-200298,9052,8258,1112,1197,2026.04.03
NW01,MAT-200305,8028,4029,3171,107,2026.04.03
NW01,MAT-200306,4805,2748,1843,919,2026.04.03
NW01,MAT-200312,8321,5824,2933,75,2026.04.03
NW01,MAT-200316,8436,6760,2647,957,2026.04.03
NW01,MAT-200321,2758,2144,2179,75,2026.04.03
NW01,MAT-200326,629,479,2845,1028,2026.04.03
NW01,MAT-200334,7782,4139,2644,566,2026.04.03
NW01,MAT-200336,8628,6710,2472,266,2026.04.03
NW01,MAT-200347,5192,3597,1710,361,2026.04.03
NW01,MAT-200349,1727,1280,794,508,2026.04.03
NW01,MAT-200351,2186,1733,3022,606,2026.04.03
NW01,MAT-200371,4873,3582,483,382,2026.04.03
NW01,MAT-200373,1602,1356,1020,728,2026.04.03
NW01,MAT-200376,3969,2836,378,1053,2026.04.03
NW01,MAT-200378,4519,3155,826,404,2026.04.03
NW01,MAT-200381,5537,4270,1630,830,2026.04.03
NW01,MAT-200393,2792,1878,1933,153,2026.04.03
NW01,MAT-200397,11793,9311,552,1127,2026.04.03
NW01,MAT-200398,3827,3246,2247,865,2026.04.03
NW01,MAT-200410,8394,5828,1245,449,2026.04.03
NW01,MAT-200415,11289,9983,703,679,2026.04.03
NW01,MAT-200417,6312,4871,3040,593,2026.04.03
NW01,MAT-200418,2520,1296,1552,757,2026.04.03
NW01,MAT-200421,9665,7408,2375,590,2026.04.03
NW01,MAT-200422,8904,4523,2455,1005,2026.04.03
NW01,MAT-200426,3400,2848,1705,756,2026.04.03
NW01,MAT-200432,345,224,2307,1190,2026.04.03
NW01,MAT-200437,11500,9957,1853,657,2026.04.03
NW01,MAT-200441,4573,4230,1359,784,2026.04.03
NW01,MAT-200453,9269,7624,77,112,2026.04.03
NW01,MAT-200456,6623,4655,640,218,2026.04.03
NW01,MAT-200457,626,473,3460,383,2026.04.03
NW01,MAT-200462,3183,1940,412,871,2026.04.03
NW01,MAT-200463,1386,826,1532,257,2026.04.03
NW01,MAT-200469,4219,2281,3392,801,2026.04.03
NW01,MAT-200473,6956,5677,1866,190,2026.04.03
NW01,MAT-200476,42,28,693,545,2026.04.03
NW01,MAT-200477,3526,2568,1216,342,2026.04.03
NW01,MAT-200480,1877,1663,2937,670,2026.04.03
NW01,MAT-200482,5439,2973,1005,406,2026.04.03
NW01,MAT-200485,6498,4873,2438,425,2026.04.03
NW01,MAT-200492,5448,3270,2830,519,2026.04.03
NW01,MAT-200494,11773,9520,2666,1086,2026.04.03
NW01,MAT-200505,11194,6269,1143,384,2026.04.03
NW01,MAT-200509,5531,3557,1308,1057,2026.04.03
NW01,MAT-200510,689,420,3263,477,2026.04.03
NW01,MAT-200512,10960,8942,1354,641,2026.04.03
NW01,MAT-200514,3175,2486,2038,470,2026.04.03
NW01,MAT-200519,9274,8216,2081,973,2026.04.03
NW01,MAT-200521,6225,4157,2826,1115,2026.04.03
NW01,MAT-200523,6166,4216,2299,657,2026.04.03
NW01,MAT-200525,11210,8914,1050,1130,2026.04.03
NW01,MAT-200528,7202,3859,2787,158,2026.04.03
NW01,MAT-200537,8098,5309,2672,983,2026.04.03
NW01,MAT-200541,4934,3803,1817,766,2026.04.03
NW01,MAT-200548,8890,6370,1575,568,2026.04.03
NW01,MAT-200575,2416,1532,543,837,2026.04.03
NW01,MAT-200581,4437,2625,1367,830,2026.04.03
NW01,MAT-200587,813,540,2076,1142,2026.04.03
NW01,MAT-200600,7794,5427,1193,455,2026.04.03
NW01,MAT-200610,7113,5056,1646,1161,2026.04.03
NW01,MAT-200617,9061,5002,404,596,2026.04.03
NW01,MAT-200622,684,414,1294,202,2026.04.03
NW01,MAT-200626,9956,6347,3178,218,2026.04.03
NW01,MAT-200635,4843,4215,694,993,2026.04.03
NW01,MAT-200638,11403,6531,1455,573,2026.04.03
NW01,MAT-200641,8644,7313,2858,146,2026.04.03
NW01,MAT-200652,6519,5630,3199,781,2026.04.03
NW01,MAT-200654,11225,7406,3113,906,2026.04.03
NW01,MAT-200657,1085,964,1726,772,2026.04.03
